@date,"@dlog(cp1,0,12)","@dlog(cp2,0,12)","@dlog(cp3,0,12)","@dlog(cp5,0,12)","@dlog(cp6,0,12)","@dlog(cp7,0,12)","@dlog(cp8,0,12)","@dlog(cp9,0,12)","@dlog(cp10,0,12)","@dlog(cp12,0,12)","@dlog(cp13,0,12)","@dlog(cp14,0,12)",cp16,"@dlog(cp17,0,12)",cp18,"@dlog(cp19,0,12)","@dlog(cp20,0,12)","@dlog(cp21,0,12)","@dlog(cp1(-1),0,12)","@dlog(cp2(-1),0,12)","@dlog(cp3(-1),0,12)","@dlog(cp5(-1),0,12)","@dlog(cp6(-1),0,12)","@dlog(cp7(-1),0,12)","@dlog(cp8(-1),0,12)","@dlog(cp9(-1),0,12)","@dlog(cp10(-1),0,12)","@dlog(cp12(-1),0,12)","@dlog(cp13(-1),0,12)","@dlog(cp14(-1),0,12)",cp16(-1),"@dlog(cp17(-1),0,12)",cp18(-1),"@dlog(cp19(-1),0,12)","@dlog(cp20(-1),0,12)","@dlog(cp21(-1),0,12)","@dlog(cp1(-2),0,12)","@dlog(cp2(-2),0,12)","@dlog(cp3(-2),0,12)","@dlog(cp5(-2),0,12)","@dlog(cp6(-2),0,12)","@dlog(cp7(-2),0,12)","@dlog(cp8(-2),0,12)","@dlog(cp9(-2),0,12)","@dlog(cp10(-2),0,12)","@dlog(cp12(-2),0,12)","@dlog(cp13(-2),0,12)","@dlog(cp14(-2),0,12)",cp16(-2),"@dlog(cp17(-2),0,12)",cp18(-2),"@dlog(cp19(-2),0,12)","@dlog(cp20(-2),0,12)","@dlog(cp21(-2),0,12)"
1995-01-01,,,,,,,,,,,,,-47.7,,-14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-01,,,,,,,,,,,,,-48.9,,-14.3,,,,,,,,,,,,,,,,-47.7,,-14.2,,,,,,,,,,,,,,,,,,,,,
1995-03-01,,,,,,,,,,,,,-44.8,,-16.3,,,,,,,,,,,,,,,,-48.9,,-14.3,,,,,,,,,,,,,,,,-47.7,,-14.2,,,
1995-04-01,,,,,,,,,,,,,-45.8,,-15.0,,,,,,,,,,,,,,,,-44.8,,-16.3,,,,,,,,,,,,,,,,-48.9,,-14.3,,,
1995-05-01,,,,,,,,,,,,,-46.8,,-14.0,,,,,,,,,,,,,,,,-45.8,,-15.0,,,,,,,,,,,,,,,,-44.8,,-16.3,,,
1995-06-01,,,,,,,,,,,,,-49.9,,-15.7,,,,,,,,,,,,,,,,-46.8,,-14.0,,,,,,,,,,,,,,,,-45.8,,-15.0,,,
1995-07-01,,,,,,,,,,,,,-48.3,,-16.2,,,,,,,,,,,,,,,,-49.9,,-15.7,,,,,,,,,,,,,,,,-46.8,,-14.0,,,
1995-08-01,,,,,,,,,,,,,-51.7,,-14.1,,,,,,,,,,,,,,,,-48.3,,-16.2,,,,,,,,,,,,,,,,-49.9,,-15.7,,,
1995-09-01,,,,,,,,,,,,,-44.5,,-13.4,,,,,,,,,,,,,,,,-51.7,,-14.1,,,,,,,,,,,,,,,,-48.3,,-16.2,,,
1995-10-01,,,,,,,,,,,,,-45.8,,-15.3,,,,,,,,,,,,,,,,-44.5,,-13.4,,,,,,,,,,,,,,,,-51.7,,-14.1,,,
1995-11-01,,,,,,,,,,,,,-44.9,,-13.4,,,,,,,,,,,,,,,,-45.8,,-15.3,,,,,,,,,,,,,,,,-44.5,,-13.4,,,
1995-12-01,,,,,,,,,,,,,-46.1,,-13.4,,,,,,,,,,,,,,,,-44.9,,-13.4,,,,,,,,,,,,,,,,-45.8,,-15.3,,,
1996-01-01,0.0108950078585907,,,,0.0953694132390765,,,,-0.071637301373407,,0.014142539578497,,-46.1,,-10.1,0.0117292112706035,,,,,,,,,,,,,,,-46.1,,-13.4,,,,,,,,,,,,,,,,-44.9,,-13.4,,,
1996-02-01,0.0147815407798903,,,,0.1287630063974365,,,,-0.0428359349577434,,0.0145196851759799,,-46.1,,-11.2,0.0153898623292052,,,0.0108950078585907,,,,0.0953694132390765,,,,-0.071637301373407,,0.014142539578497,,-46.1,,-10.1,0.0117292112706035,,,,,,,,,,,,,,,-46.1,,-13.4,,,
1996-03-01,0.0214587356336668,,,,0.0318218310717366,,,,-0.049047051776327,,0.0111968133625062,,-47.5,,-9.7,0.0170533515739554,,,0.0147815407798903,,,,0.1287630063974365,,,,-0.0428359349577434,,0.0145196851759799,,-46.1,,-11.2,0.0153898623292052,,,0.0108950078585907,,,,0.0953694132390765,,,,-0.071637301373407,,0.014142539578497,,-46.1,,-10.1,0.0117292112706035,,
1996-04-01,0.0095363736436322,,,,0.0325094113841846,,,,-0.0648269285821072,,0.0126595698182843,,-38.1,,-10.9,0.0064877040134003,,,0.0214587356336668,,,,0.0318218310717366,,,,-0.049047051776327,,0.0111968133625062,,-47.5,,-9.7,0.0170533515739554,,,0.0147815407798903,,,,0.1287630063974365,,,,-0.0428359349577434,,0.0145196851759799,,-46.1,,-11.2,0.0153898623292052,,
