@date,"@dlog(exp1,0,12)","@dlog(exp2,0,12)","@dlog(exp3,0,12)","@dlog(exp4,0,12)","@dlog(exp5,0,12)","@dlog(exp6,0,12)","@dlog(exp7,0,12)","@dlog(exp8,0,12)","@dlog(exp9,0,12)","@dlog(exp10,0,12)","@dlog(exp11,0,12)","@dlog(exp12,0,12)","@dlog(exp1(-1),0,12)","@dlog(exp2(-1),0,12)","@dlog(exp3(-1),0,12)","@dlog(exp4(-1),0,12)","@dlog(exp5(-1),0,12)","@dlog(exp6(-1),0,12)","@dlog(exp7(-1),0,12)","@dlog(exp8(-1),0,12)","@dlog(exp9(-1),0,12)","@dlog(exp10(-1),0,12)","@dlog(exp11(-1),0,12)","@dlog(exp12(-1),0,12)","@dlog(exp1(-2),0,12)","@dlog(exp2(-2),0,12)","@dlog(exp3(-2),0,12)","@dlog(exp4(-2),0,12)","@dlog(exp5(-2),0,12)","@dlog(exp6(-2),0,12)","@dlog(exp7(-2),0,12)","@dlog(exp8(-2),0,12)","@dlog(exp9(-2),0,12)","@dlog(exp10(-2),0,12)","@dlog(exp11(-2),0,12)","@dlog(exp12(-2),0,12)"
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,0.1299954435931702,,,0.0705351807761323,0.1468265874477214,0.059079988913302,,,,0.0113742783956087,0.1176153906366543,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-01,0.0608651880652661,,,0.1247585031124867,0.1543835776838662,0.1052070639760689,,,,0.0070861430715218,0.0159043358984121,,0.1299954435931702,,,0.0705351807761323,0.1468265874477214,0.059079988913302,,,,0.0113742783956087,0.1176153906366543,,,,,,,,,,,,,
1996-03-01,-0.0322437198981599,,,0.1443386866934801,0.1584258528602866,0.0958517180070543,,,,0.0171218360833305,-0.0094893443169041,,0.0608651880652661,,,0.1247585031124867,0.1543835776838662,0.1052070639760689,,,,0.0070861430715218,0.0159043358984121,,0.1299954435931702,,,0.0705351807761323,0.1468265874477214,0.059079988913302,,,,0.0113742783956087,0.1176153906366543,
1996-04-01,0.1583333362394885,,,-0.0209337642562985,0.071964347856035,0.0087845304429468,,,,-0.0170819565657347,0.1774343436164116,,-0.0322437198981599,,,0.1443386866934801,0.1584258528602866,0.0958517180070543,,,,0.0171218360833305,-0.0094893443169041,,0.0608651880652661,,,0.1247585031124867,0.1543835776838662,0.1052070639760689,,,,0.0070861430715218,0.0159043358984121,
1996-05-01,0.1904443684043215,,,0.0224720177009061,0.0168879158938999,0.0168660027285607,,,,0.0143685540929299,0.185087387373759,,0.1583333362394885,,,-0.0209337642562985,0.071964347856035,0.0087845304429468,,,,-0.0170819565657347,0.1774343436164116,,-0.0322437198981599,,,0.1443386866934801,0.1584258528602866,0.0958517180070543,,,,0.0171218360833305,-0.0094893443169041,
1996-06-01,0.1078089438530938,,,0.0096649058855309,0.0998268288151891,0.0229875068261034,,,,0.0118679169432773,0.0685882527868102,,0.1904443684043215,,,0.0224720177009061,0.0168879158938999,0.0168660027285607,,,,0.0143685540929299,0.185087387373759,,0.1583333362394885,,,-0.0209337642562985,0.071964347856035,0.0087845304429468,,,,-0.0170819565657347,0.1774343436164116,
1996-07-01,0.229391099042095,,,-0.0302931681073488,-0.0533298115661295,-0.0104299522610968,,,,0.03119930962698,0.2313596501464285,,0.1078089438530938,,,0.0096649058855309,0.0998268288151891,0.0229875068261034,,,,0.0118679169432773,0.0685882527868102,,0.1904443684043215,,,0.0224720177009061,0.0168879158938999,0.0168660027285607,,,,0.0143685540929299,0.185087387373759,
1996-08-01,0.0892263653677574,,,0.0565497487134543,0.1117112351772924,0.0421948284225326,,,,0.0177676214181872,0.0686999505307817,,0.229391099042095,,,-0.0302931681073488,-0.0533298115661295,-0.0104299522610968,,,,0.03119930962698,0.2313596501464285,,0.1078089438530938,,,0.0096649058855309,0.0998268288151891,0.0229875068261034,,,,0.0118679169432773,0.0685882527868102,
