@date,"@dlog(inv1,0,12)","@dlog(inv2,0,12)","@dlog(inv3,0,12)","@dlog(inv4,0,12)","@dlog(inv5,0,12)","@dlog(inv6,0,12)","@dlog(inv7,0,12)","@dlog(inv8,0,12)",inv9,"@dlog(inv1(-1),0,12)","@dlog(inv2(-1),0,12)","@dlog(inv3(-1),0,12)","@dlog(inv4(-1),0,12)","@dlog(inv5(-1),0,12)","@dlog(inv6(-1),0,12)","@dlog(inv7(-1),0,12)","@dlog(inv8(-1),0,12)",inv9(-1),"@dlog(inv1(-2),0,12)","@dlog(inv2(-2),0,12)","@dlog(inv3(-2),0,12)","@dlog(inv4(-2),0,12)","@dlog(inv5(-2),0,12)","@dlog(inv6(-2),0,12)","@dlog(inv7(-2),0,12)","@dlog(inv8(-2),0,12)",inv9(-2)
1995-01-01,,,,,,,,,9.34,,,,,,,,,,,,,,,,,,
1995-02-01,,,,,,,,,9.19,,,,,,,,,9.34,,,,,,,,,
1995-03-01,,,,,,,,,9.43,,,,,,,,,9.19,,,,,,,,,9.34
1995-04-01,,,,,,,,,9.26,,,,,,,,,9.43,,,,,,,,,9.19
1995-05-01,,,,,,,,,8.78,,,,,,,,,9.26,,,,,,,,,9.43
1995-06-01,,,,,,,,,8.75,,,,,,,,,8.78,,,,,,,,,9.26
1995-07-01,,,,,,,,,8.71,,,,,,,,,8.75,,,,,,,,,8.78
1995-08-01,,,,,,,,,8.47,,,,,,,,,8.71,,,,,,,,,8.75
1995-09-01,,,,,,,,,8.36,,,,,,,,,8.47,,,,,,,,,8.71
1995-10-01,,,,,,,,,8.48,,,,,,,,,8.36,,,,,,,,,8.47
1995-11-01,,,,,,,,,8.16,,,,,,,,,8.48,,,,,,,,,8.36
1995-12-01,,,,,,,,,7.82,,,,,,,,,8.16,,,,,,,,,8.48
1996-01-01,0.0079435741956555,,,-0.033435003055934,0.0117292112706035,-0.2161769085929012,-0.1521893297465712,-0.2401763282630202,7.44,,,,,,,,,7.82,,,,,,,,,8.16
1996-02-01,0.0047497385184858,,,0.0508686292992921,0.0153898623292052,-0.3691275935884768,-0.2478004842031893,-0.4079184571119647,7.66,0.0079435741956555,,,-0.033435003055934,0.0117292112706035,-0.2161769085929012,-0.1521893297465712,-0.2401763282630202,7.44,,,,,,,,,7.82
1996-03-01,0.0062124261078935,,,0.0314652345083725,0.0170533515739554,0.1474204793636744,-0.0745438871000256,0.2132785989857222,7.83,0.0047497385184858,,,0.0508686292992921,0.0153898623292052,-0.3691275935884768,-0.2478004842031893,-0.4079184571119647,7.66,0.0079435741956555,,,-0.033435003055934,0.0117292112706035,-0.2161769085929012,-0.1521893297465712,-0.2401763282630202,7.44
1996-04-01,-0.0333479063774353,,,0.0198045164786266,0.0064877040134003,0.3178563261159528,-0.4168200938164456,0.4882986606109209,7.62,0.0062124261078935,,,0.0314652345083725,0.0170533515739554,0.1474204793636744,-0.0745438871000256,0.2132785989857222,7.83,0.0047497385184858,,,0.0508686292992921,0.0153898623292052,-0.3691275935884768,-0.2478004842031893,-0.4079184571119647,7.66
1996-05-01,0.0255002286798244,,,0.0272154799749104,0.010166795921032,-0.7205330746662905,-0.923070618670854,-0.6522685148568036,7.48,-0.0333479063774353,,,0.0198045164786266,0.0064877040134003,0.3178563261159528,-0.4168200938164456,0.4882986606109209,7.62,0.0062124261078935,,,0.0314652345083725,0.0170533515739554,0.1474204793636744,-0.0745438871000256,0.2132785989857222,7.83
1996-06-01,0.0070087269426908,,,0.0287000777517016,0.0142868502977462,0.3263094118637966,0.148880042969095,0.4014669348095303,7.51,0.0255002286798244,,,0.0272154799749104,0.010166795921032,-0.7205330746662905,-0.923070618670854,-0.6522685148568036,7.48,-0.0333479063774353,,,0.0198045164786266,0.0064877040134003,0.3178563261159528,-0.4168200938164456,0.4882986606109209,7.62
1996-07-01,-0.0049672609228998,,,0.0203804443694615,0.0126289195424629,1.1899957258825111,0.5126314933312521,1.4287727709624516,7.39,0.0070087269426908,,,0.0287000777517016,0.0142868502977462,0.3263094118637966,0.148880042969095,0.4014669348095303,7.51,0.0255002286798244,,,0.0272154799749104,0.010166795921032,-0.7205330746662905,-0.923070618670854,-0.6522685148568036,7.48
1996-08-01,-0.0055888715460454,,,0.038869586908488,0.0169238392369486,0.786028470035868,0.2309892354201608,1.0571376769851621,7.31,-0.0049672609228998,,,0.0203804443694615,0.0126289195424629,1.1899957258825111,0.5126314933312521,1.4287727709624516,7.39,0.0070087269426908,,,0.0287000777517016,0.0142868502977462,0.3263094118637966,0.148880042969095,0.4014669348095303,7.51
1996-09-01,0.054310966636939,,,0.052407456256363,0.0169225277370639,0.6812836319475117,-0.1156356305613108,0.9982441402641076,7.13,-0.0055888715460454,,,0.038869586908488,0.0169238392369486,0.786028470035868,0.2309892354201608,1.0571376769851621,7.31,-0.0049672609228998,,,0.0203804443694615,0.0126289195424629,1.1899957258825111,0.5126314933312521,1.4287727709624516,7.39
1996-10-01,0.0984195565319789,,,0.0458336688240823,0.0226272671264764,0.5660536089910266,0.1252457622632636,0.7119736228627467,6.68,0.054310966636939,,,0.052407456256363,0.0169225277370639,0.6812836319475117,-0.1156356305613108,0.9982441402641076,7.13,-0.0055888715460454,,,0.038869586908488,0.0169238392369486,0.786028470035868,0.2309892354201608,1.0571376769851621,7.31
1996-11-01,0.0568788607364645,,,0.0361782915504509,0.0253300162838501,0.010330137089948,-0.0795293565978454,0.0579432471607397,6.43,0.0984195565319789,,,0.0458336688240823,0.0226272671264764,0.5660536089910266,0.1252457622632636,0.7119736228627467,6.68,0.054310966636939,,,0.052407456256363,0.0169225277370639,0.6812836319475117,-0.1156356305613108,0.9982441402641076,7.13
1996-12-01,0.0807491487712344,,,0.0673971833721376,0.0224302706573968,-0.0410301118482117,-0.3400636658466087,0.0155409392953469,6.31,0.0568788607364645,,,0.0361782915504509,0.0253300162838501,0.010330137089948,-0.0795293565978454,0.0579432471607397,6.43,0.0984195565319789,,,0.0458336688240823,0.0226272671264764,0.5660536089910266,0.1252457622632636,0.7119736228627467,6.68
1997-01-01,0.0704226880151224,0.2461888404320937,,0.0704195307085768,0.0261750419411876,0.2219546034833275,0.4437523070831943,0.1195785940080362,6.23,0.0807491487712344,,,0.0673971833721376,0.0224302706573968,-0.0410301118482117,-0.3400636658466087,0.0155409392953469,6.31,0.0568788607364645,,,0.0361782915504509,0.0253300162838501,0.010330137089948,-0.0795293565978454,0.0579432471607397,6.43
1997-02-01,0.059234361013126,0.1961920834150738,,0.0065456720130665,0.0237654835380469,-0.2295339730540835,-0.0990940553251924,-0.2789690437421779,6.06,0.0704226880151224,0.2461888404320937,,0.0704195307085768,0.0261750419411876,0.2219546034833275,0.4437523070831943,0.1195785940080362,6.23,0.0807491487712344,,,0.0673971833721376,0.0224302706573968,-0.0410301118482117,-0.3400636658466087,0.0155409392953469,6.31
1997-03-01,0.1090260785041739,0.1838435729764782,,0.0877554394614712,0.0308231546135511,-0.7567065394349014,-0.0018382049326568,-1.097945997329095,6.32,0.059234361013126,0.1961920834150738,,0.0065456720130665,0.0237654835380469,-0.2295339730540835,-0.0990940553251924,-0.2789690437421779,6.06,0.0704226880151224,0.2461888404320937,,0.0704195307085768,0.0261750419411876,0.2219546034833275,0.4437523070831943,0.1195785940080362,6.23
1997-04-01,0.1241995198733079,0.3483923437051235,,0.0550471263396419,0.0278643690235531,-0.6259953665531394,0.3132892345226796,-0.8809988084848897,6.39,0.1090260785041739,0.1838435729764782,,0.0877554394614712,0.0308231546135511,-0.7567065394349014,-0.0018382049326568,-1.097945997329095,6.32,0.059234361013126,0.1961920834150738,,0.0065456720130665,0.0237654835380469,-0.2295339730540835,-0.0990940553251924,-0.2789690437421779,6.06
1997-05-01,0.0961909512145604,0.2130611084708178,,0.0461948969220449,0.0330004302821338,0.397793670218947,0.6324853829253048,0.3168592025000993,6.18,0.1241995198733079,0.3483923437051235,,0.0550471263396419,0.0278643690235531,-0.6259953665531394,0.3132892345226796,-0.8809988084848897,6.39,0.1090260785041739,0.1838435729764782,,0.0877554394614712,0.0308231546135511,-0.7567065394349014,-0.0018382049326568,-1.097945997329095,6.32
1997-06-01,0.1156098428508078,0.3176845331830833,,0.0802016031480938,0.0265569126461215,0.0879954106719456,0.2632127057923963,0.013898159697069,6.09,0.0961909512145604,0.2130611084708178,,0.0461948969220449,0.0330004302821338,0.397793670218947,0.6324853829253048,0.3168592025000993,6.18,0.1241995198733079,0.3483923437051235,,0.0550471263396419,0.0278643690235531,-0.6259953665531394,0.3132892345226796,-0.8809988084848897,6.39
1997-07-01,0.1261997117226716,0.3528128000215691,,0.1066843682047045,0.0320339220732401,-0.0045324498948211,0.5906208935111597,-0.2009608648314653,5.83,0.1156098428508078,0.3176845331830833,,0.0802016031480938,0.0265569126461215,0.0879954106719456,0.2632127057923963,0.013898159697069,6.09,0.0961909512145604,0.2130611084708178,,0.0461948969220449,0.0330004302821338,0.397793670218947,0.6324853829253048,0.3168592025000993,6.18
1997-08-01,0.1278671684569632,0.2672877484235218,,0.1209161210871503,0.0326665191676323,0.2249228130800436,0.4732022721945643,0.1304024091352324,5.94,0.1261997117226716,0.3528128000215691,,0.1066843682047045,0.0320339220732401,-0.0045324498948211,0.5906208935111597,-0.2009608648314653,5.83,0.1156098428508078,0.3176845331830833,,0.0802016031480938,0.0265569126461215,0.0879954106719456,0.2632127057923963,0.013898159697069,6.09
1997-09-01,0.1152365887088429,0.1466332075894918,,0.0922653523530527,0.0313475051680374,-0.0851593131210606,0.5415308968758888,-0.3011202963064168,5.81,0.1278671684569632,0.2672877484235218,,0.1209161210871503,0.0326665191676323,0.2249228130800436,0.4732022721945643,0.1304024091352324,5.94,0.1261997117226716,0.3528128000215691,,0.1066843682047045,0.0320339220732401,-0.0045324498948211,0.5906208935111597,-0.2009608648314653,5.83
1997-10-01,0.1326054280535542,0.1317271965603144,,0.1144243486337073,0.031292049389247,0.1025115696731138,0.3878864786446314,0.0181025203676323,5.77,0.1152365887088429,0.1466332075894918,,0.0922653523530527,0.0313475051680374,-0.0851593131210606,0.5415308968758888,-0.3011202963064168,5.81,0.1278671684569632,0.2672877484235218,,0.1209161210871503,0.0326665191676323,0.2249228130800436,0.4732022721945643,0.1304024091352324,5.94
1997-11-01,0.1463816555785166,0.0931567417176832,,0.1168522168393568,0.0331609957139047,0.4422809941543412,0.4080540886789379,0.4587860692376093,5.74,0.1326054280535542,0.1317271965603144,,0.1144243486337073,0.031292049389247,0.1025115696731138,0.3878864786446314,0.0181025203676323,5.77,0.1152365887088429,0.1466332075894918,,0.0922653523530527,0.0313475051680374,-0.0851593131210606,0.5415308968758888,-0.3011202963064168,5.81
1997-12-01,0.0884822391982398,0.1936129620760418,,0.0675639590243344,0.0344271829280797,-0.0207658073333085,0.5584746362765997,-0.1529494837800626,5.46,0.1463816555785166,0.0931567417176832,,0.1168522168393568,0.0331609957139047,0.4422809941543412,0.4080540886789379,0.4587860692376093,5.74,0.1326054280535542,0.1317271965603144,,0.1144243486337073,0.031292049389247,0.1025115696731138,0.3878864786446314,0.0181025203676323,5.77
1998-01-01,0.1305984250953962,0.0502735900134361,,0.1039103874914806,0.0369294021587833,0.6376999967486849,0.8220878386612593,0.5214707384939032,5.22,0.0884822391982398,0.1936129620760418,,0.0675639590243344,0.0344271829280797,-0.0207658073333085,0.5584746362765997,-0.1529494837800626,5.46,0.1463816555785166,0.0931567417176832,,0.1168522168393568,0.0331609957139047,0.4422809941543412,0.4080540886789379,0.4587860692376093,5.74
1998-02-01,0.1462840626370667,0.1997728681438033,,0.1514562644991839,0.0387612039384359,0.5933152792161192,0.7780238639992856,0.505501513697446,5.12,0.1305984250953962,0.0502735900134361,,0.1039103874914806,0.0369294021587833,0.6376999967486849,0.8220878386612593,0.5214707384939032,5.22,0.0884822391982398,0.1936129620760418,,0.0675639590243344,0.0344271829280797,-0.0207658073333085,0.5584746362765997,-0.1529494837800626,5.46
1998-03-01,0.0821435003150847,0.2589526468844525,,0.060559694213266,0.0288248267078419,1.3073508887288483,0.4369765854977867,1.676181660928016,5.01,0.1462840626370667,0.1997728681438033,,0.1514562644991839,0.0387612039384359,0.5933152792161192,0.7780238639992856,0.505501513697446,5.12,0.1305984250953962,0.0502735900134361,,0.1039103874914806,0.0369294021587833,0.6376999967486849,0.8220878386612593,0.5214707384939032,5.22
1998-04-01,0.0989380862360311,0.0630789594275196,,0.1128189762325355,0.042382254063682,0.1721474890825334,0.3586371364902572,0.0692651682854847,5.0,0.0821435003150847,0.2589526468844525,,0.060559694213266,0.0288248267078419,1.3073508887288483,0.4369765854977867,1.676181660928016,5.01,0.1462840626370667,0.1997728681438033,,0.1514562644991839,0.0387612039384359,0.5933152792161192,0.7780238639992856,0.505501513697446,5.12
