_date_,fcon1f
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,2.496241320444403
2002-04-01,2.9283872340742594
2002-05-01,2.80907401224222
2002-06-01,3.206378672886468
2002-07-01,3.246359888250763
2002-08-01,2.469167014359596
2002-09-01,2.523605320533081
2002-10-01,2.111632648699691
2002-11-01,2.5431733122642632
2002-12-01,2.5548891240903027
2003-01-01,2.9693177858572297
2003-02-01,3.5794947495617655
2003-03-01,4.210726447179575
2003-04-01,4.366884719346498
2003-05-01,4.327479252452444
2003-06-01,4.301438078003458
2003-07-01,4.424002990855649
2003-08-01,3.9866887669736046
2003-09-01,3.51142678025362
2003-10-01,2.6640035789964442
2003-11-01,2.923684424354817
2003-12-01,2.721911099544395
2004-01-01,2.8084178066753873
2004-02-01,2.5661243219608307
2004-03-01,2.6891743708376885
2004-04-01,3.088131554557471
2004-05-01,3.3414464769454164
2004-06-01,3.7015708147337367
2004-07-01,3.5555675372323923
2004-08-01,4.173619252975516
2004-09-01,4.1593963477757745
2004-10-01,4.468922839398741
2004-11-01,4.021592397031831
2004-12-01,4.453575754710421
2005-01-01,4.6245707606683615
2005-02-01,4.860884489037914
2005-03-01,4.557077496624561
2005-04-01,5.070008068614709
2005-05-01,5.507390570655923
2005-06-01,5.78938639105631
2005-07-01,5.77406037639512
2005-08-01,5.630154246722346
2005-09-01,5.7787175750683195
2005-10-01,5.790427789968988
2005-11-01,6.179518533641574
2005-12-01,6.502247462942371
2006-01-01,6.352207173028045
2006-02-01,5.595096820297623
2006-03-01,5.121422223415456
2006-04-01,4.868637427108889
2006-05-01,5.075638587656424
2006-06-01,5.366517219075297
2006-07-01,5.5983011740590225
2006-08-01,5.297288698698836
2006-09-01,5.2024167001355845
2006-10-01,4.771843160080112
2006-11-01,4.85502466148522
2006-12-01,4.282456416420229
2007-01-01,4.2761720900518405
2007-02-01,3.965112197475636
2007-03-01,3.8053948446171617
2007-04-01,3.8379506477619296
2007-05-01,3.776763881774244
2007-06-01,3.5217649431917644
2007-07-01,3.290421023534489
2007-08-01,2.728630187208045
2007-09-01,2.037062589981185
2007-10-01,1.0096924593469023
2007-11-01,0.4528635719845572
2007-12-01,-0.0594155981057634
2008-01-01,-0.5453054008220865
2008-02-01,-1.338868146981608
2008-03-01,-2.4848393885466913
2008-04-01,-3.096068386961139
2008-05-01,-3.275693780283383
2008-06-01,-3.342425756491057
2008-07-01,-4.082364920217816
2008-08-01,-5.035284156172598
2008-09-01,-5.517603788075172
2008-10-01,-6.599475909978005
2008-11-01,-7.351968582670646
2008-12-01,-8.046135379392048
2009-01-01,-8.727963030891674
2009-02-01,-9.503359988900359
2009-03-01,-10.09076055590059
2009-04-01,-10.05647204499875
2009-05-01,-9.751291988453664
2009-06-01,-9.007351673734638
2009-07-01,-8.128669286332633
2009-08-01,-7.375081446765906
2009-09-01,-7.14581475549127
2009-10-01,-7.106721272456591
2009-11-01,-6.2910418851864724
2009-12-01,-5.656282726688596
2010-01-01,-5.121120523701266
2010-02-01,-5.856705608258132
2010-03-01,-6.022210347258194
2010-04-01,-5.238037055513521
2010-05-01,-4.106042224589104
2010-06-01,-3.57460460486928
2010-07-01,-4.608149470652323
2010-08-01,-5.407368454213134
2010-09-01,-6.137847695434633
2010-10-01,-6.100891486459127
2010-11-01,-6.406303496563794
2010-12-01,-6.387776071648008
2011-01-01,-6.621873457768848
2011-02-01,-6.60853671748885
2011-03-01,-6.768268129115013
2011-04-01,-6.204063139643994
2011-05-01,-5.846583179098625
2011-06-01,-6.078660892953586
