_date_,fcp4f
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,-0.5036743822454928
2006-04-01,-0.2732293990972254
2006-05-01,-0.9056102110625684
2006-06-01,-1.031916935843773
2006-07-01,-0.6496794584764147
2006-08-01,-0.9258816619342461
2006-09-01,-0.9193149165632664
2006-10-01,-0.879043957360647
2006-11-01,-0.6391010660583447
2006-12-01,-0.516896917058144
2007-01-01,-0.0325445616953005
2007-02-01,0.3353248622816844
2007-03-01,-0.5786789995984988
2007-04-01,-0.0237724059443394
2007-05-01,-0.0367481404774009
2007-06-01,-0.7348440196453995
2007-07-01,-0.0995451077248133
2007-08-01,0.0400917913138432
2007-09-01,0.2951888914393671
2007-10-01,0.2969894780458575
2007-11-01,0.0760981637400977
2007-12-01,-0.2098817559349714
2008-01-01,-0.2445835117481112
2008-02-01,0.3261368089856872
2008-03-01,1.618710580476942
2008-04-01,0.4532569613199082
2008-05-01,0.1334644279858262
2008-06-01,1.51250985523503
2008-07-01,-0.5538864428399956
2008-08-01,-0.3186896132292221
2008-09-01,0.5062088989856913
2008-10-01,-0.0389263940139288
2008-11-01,0.594153227764928
2008-12-01,1.3326557434559132
2009-01-01,0.5783434576862043
2009-02-01,-0.0521079656587415
2009-03-01,0.5469358197571532
2009-04-01,0.6018998616755609
2009-05-01,0.2701935478972619
2009-06-01,-0.0237456359869563
2009-07-01,0.9304932833714188
2009-08-01,0.9867843075303928
2009-09-01,0.4524989742538565
2009-10-01,1.2560905474652853
2009-11-01,1.1491013654242135
2009-12-01,0.9052326244691415
2010-01-01,1.5951501789042475
2010-02-01,1.35830907746641
2010-03-01,-0.1537689156685426
2010-04-01,1.642582198831585
2010-05-01,2.635963814159131
2010-06-01,1.2069848434258497
2010-07-01,2.810968136276245
2010-08-01,2.2711923646767818
2010-09-01,1.2241795944278726
2010-10-01,0.8439807283404148
2010-11-01,0.6275292438388776
2010-12-01,0.7723047190585638
2011-01-01,0.3690433240945805
2011-02-01,0.7349650859475982
2011-03-01,1.4397069538754594
2011-04-01,-0.3331485074658057
2011-05-01,-0.647074576486437
2011-06-01,1.4117332555369708
2011-07-01,-0.3598762380821413
2011-08-01,-0.4354644361544458
2011-09-01,0.9392123123316038
2011-10-01,1.3457836514919355
2011-11-01,1.1037946062745672
2011-12-01,0.1830200119500113
2012-01-01,0.9251934045473604
2012-02-01,1.763590234009028
2012-03-01,0.9900368267883548
2012-04-01,1.2681121494079968
2012-05-01,1.0137091223873875
2012-06-01,-0.2092813649160824
2012-07-01,0.8678001442079356
2012-08-01,0.9773756518188452
2012-09-01,1.4260792003841076
2012-10-01,1.0519247904077627
2012-11-01,-0.0824780671098912
2012-12-01,0.6265153653478582
2013-01-01,-0.411148777062044
2013-02-01,-1.3774419728066254
