_date_,fexp1f
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,-0.1261218834970578
2005-04-01,-0.129040489275212
2005-05-01,-0.136201800870012
2005-06-01,-0.1282394426718227
2005-07-01,-0.3779044316682728
2005-08-01,-0.3689585398264338
2005-09-01,-0.215525530942466
2005-10-01,-0.1907123660030232
2005-11-01,-0.1096776947836893
2005-12-01,-0.2953785026590738
2006-01-01,0.0479249113522279
2006-02-01,0.1549099722555727
2006-03-01,0.5367317049802766
2006-04-01,0.4486618790650037
2006-05-01,0.543986641513957
2006-06-01,0.5811345792159922
2006-07-01,0.7166721732811641
2006-08-01,0.5420061399673674
2006-09-01,0.289057581916292
2006-10-01,0.5507918242798632
2006-11-01,0.3561393743484381
2006-12-01,0.5971680888844078
2007-01-01,0.5030705026135444
2007-02-01,0.6427567652457364
2007-03-01,0.3823796652967441
2007-04-01,0.1692870469325377
2007-05-01,0.0027574494078591
2007-06-01,0.0341220533820288
2007-07-01,0.267454143759259
2007-08-01,0.6140606945628693
2007-09-01,0.6573353452758536
2007-10-01,0.5355102758507952
2007-11-01,0.5480077671937714
2007-12-01,0.3097043292807591
2008-01-01,0.1479500266679683
2008-02-01,0.2478186350034342
2008-03-01,0.4618800026207476
2008-04-01,0.6437472709526844
2008-05-01,0.3222066557004858
2008-06-01,0.0499878298206642
2008-07-01,-0.5271539556111761
2008-08-01,-0.6846704958908681
2008-09-01,-0.3788723575119433
2008-10-01,-0.9628420802194912
2008-11-01,-1.8982078579934865
2008-12-01,-3.212970125049584
2009-01-01,-4.438396764512928
2009-02-01,-5.333986687001915
2009-03-01,-5.855758912605699
2009-04-01,-5.676020662478353
2009-05-01,-5.297984156673779
2009-06-01,-4.976624612926637
2009-07-01,-4.386417163746463
2009-08-01,-3.873709568509751
2009-09-01,-3.817679208702348
2009-10-01,-3.219188335647156
2009-11-01,-2.277990406025908
2009-12-01,-0.8303675093042332
2010-01-01,0.2552143294932617
2010-02-01,1.1594046931209827
2010-03-01,1.9401117728225048
2010-04-01,2.193764409169857
2010-05-01,2.531079435192973
2010-06-01,2.311077620451524
2010-07-01,2.4216882600501806
2010-08-01,2.154813049815113
2010-09-01,1.976758360993568
2010-10-01,1.926614640105418
2010-11-01,1.8596940417239505
2010-12-01,1.8347754770940696
2011-01-01,2.152812437063239
2011-02-01,2.094472750638785
2011-03-01,2.099360461576692
2011-04-01,1.7158757721546545
2011-05-01,1.4339755333854143
2011-06-01,1.2810313662503532
2011-07-01,1.02114741990611
2011-08-01,1.1114797688640548
2011-09-01,1.2166085798429103
2011-10-01,1.0425334859490356
2011-11-01,0.6328825257782408
2011-12-01,0.2677869932288117
2012-01-01,-0.095570685886599
2012-02-01,-0.4381393810213416
2012-03-01,-0.7380446225476249
2012-04-01,-0.964603640995404
2012-05-01,-0.9624903113396214
2012-06-01,-0.6751195607035972
2012-07-01,-0.3494269968111686
2012-08-01,-0.1395085087038747
2012-09-01,-0.2478752973208226
