_date_,finv1f
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,0.9824271622600188
2003-04-01,1.259494614297113
2003-05-01,1.5653349064846078
2003-06-01,1.1256541207534174
2003-07-01,0.6685154525201276
2003-08-01,-0.0715884010500459
2003-09-01,-0.1672752096184107
2003-10-01,0.0367235166039887
2003-11-01,0.0057514125164656
2003-12-01,-0.4117252277995441
2004-01-01,-0.3213375874264964
2004-02-01,0.636254404068818
2004-03-01,0.8703402055608948
2004-04-01,0.7185225830129537
2004-05-01,-0.1581433095099461
2004-06-01,0.4934103552615508
2004-07-01,1.3148818520445011
2004-08-01,2.1578272627585577
2004-09-01,1.819391083557008
2004-10-01,1.2067826019963028
2004-11-01,1.026880813286753
2004-12-01,1.1871928910695242
2005-01-01,1.3509052378661608
2005-02-01,0.5456405812317331
2005-03-01,0.3896247465489262
2005-04-01,0.8321766877145089
2005-05-01,1.7658220362735697
2005-06-01,1.628608620680261
2005-07-01,0.6082082131770676
2005-08-01,0.1984212085541049
2005-09-01,0.5941440435013521
2005-10-01,1.1612262254948806
2005-11-01,1.3081778448440797
2005-12-01,1.524679869630194
2006-01-01,1.796572811236465
2006-02-01,1.69111379653464
2006-03-01,1.489240864331006
2006-04-01,1.197402719401879
2006-05-01,1.3860424373601794
2006-06-01,1.352062588945618
2006-07-01,1.396888320626835
2006-08-01,1.4084682135617679
2006-09-01,1.482151270140147
2006-10-01,2.0727322317072976
2006-11-01,2.146660648221281
2006-12-01,2.256843070685432
2007-01-01,2.0747441836622778
2007-02-01,2.0392560144522696
2007-03-01,1.9877697610912
2007-04-01,1.5626534097320985
2007-05-01,1.1822395516237214
2007-06-01,1.0688805467604297
2007-07-01,1.42844670994539
2007-08-01,0.883935776927696
2007-09-01,0.2910159783175175
2007-10-01,-0.378729796143257
2007-11-01,-0.5354715267259167
2007-12-01,-0.6468156585164916
2008-01-01,-0.899446013858643
2008-02-01,-0.4039573720894406
2008-03-01,-0.8172794060297264
2008-04-01,-0.6782866957888624
2008-05-01,-2.1133320182659405
2008-06-01,-3.6658911259835194
2008-07-01,-5.095919181353644
2008-08-01,-5.083327387467903
2008-09-01,-4.656468627954491
2008-10-01,-5.605853177027863
2008-11-01,-6.522452883816809
2008-12-01,-7.791435152718328
2009-01-01,-8.677767761391006
2009-02-01,-9.51042769077336
2009-03-01,-9.57657039486288
2009-04-01,-9.605275067844977
2009-05-01,-9.160012583617341
2009-06-01,-8.19328722150466
2009-07-01,-6.98350662611794
2009-08-01,-5.851992858623029
2009-09-01,-5.359380213253445
2009-10-01,-4.3186608679240726
2009-11-01,-3.652110467139019
2009-12-01,-2.519013092943258
2010-01-01,-1.8564074362886067
2010-02-01,-1.2624832423614711
2010-03-01,-0.7074802548833384
2010-04-01,-0.2520802761978864
2010-05-01,0.5131174378646594
2010-06-01,0.7907852006443103
2010-07-01,0.4231428239240512
2010-08-01,-1.0436572222488054
2010-09-01,-1.7316486273411855
2010-10-01,-1.3337307631901696
2010-11-01,-0.5944945218306804
2010-12-01,-0.7614870248770417
2011-01-01,-0.6733765815223491
2011-02-01,-0.8674927722709816
2011-03-01,-1.0284404650759682
2011-04-01,-1.4879391915741123
2011-05-01,-1.7065232260348955
2011-06-01,-1.7914172705540348
2011-07-01,-1.6814466613250934
2011-08-01,-1.3721816807304563
2011-09-01,-0.7821737550285576
