_date_,FCON1F,FCON2F,FCON3F,FCON4F,FCON5F
2003-03-01,4.32405,1.70882,-1.418029,-0.543982,1.412576
2003-04-01,4.477596,1.815197,-1.337053,-0.314358,1.639372
2003-05-01,4.495755,1.605153,-1.561177,-0.475261,1.819307
2003-06-01,4.343342,1.890569,-1.719221,-0.230879,1.031269
2003-07-01,4.374836,1.859898,-1.814768,-0.456675,0.514543
2003-08-01,3.816782,1.979494,-1.602623,-1.253535,0.438961
2003-09-01,3.358463,1.739038,-1.468033,-1.696488,0.736006
2003-10-01,2.54691,1.165996,-1.744963,-1.979159,1.158554
2003-11-01,2.708485,0.724564,-1.775317,-1.093645,0.349085
2003-12-01,2.39503,0.702627,-1.831293,-0.604347,0.136048
2004-01-01,2.527672,0.792892,-1.551733,-0.318188,0.001174
2004-02-01,2.498462,0.59051,-1.706795,-0.413278,0.32175
2004-03-01,2.685122,0.416674,-1.353071,-0.895636,0.366115
2004-04-01,3.088591,0.834114,-0.810888,-0.74833,0.320997
2004-05-01,3.115371,1.454999,0.180137,-1.205209,0.079283
2004-06-01,3.582821,1.84383,0.814631,-1.620356,0.833253
2004-07-01,3.536619,1.838067,1.298779,-1.097538,1.199989
2004-08-01,4.395046,1.944115,1.215535,-0.344604,1.467495
2004-09-01,4.291457,1.853278,1.246374,-0.018367,0.795629
2004-10-01,4.510307,2.125249,1.794011,-0.908423,0.892864
2004-11-01,4.028771,1.911178,1.976554,-1.394934,1.038217
2004-12-01,4.54649,2.029156,2.22017,-0.875557,1.040265
2005-01-01,4.782642,1.849588,1.660262,-0.202427,0.887972
2005-02-01,4.887251,2.435108,1.426649,-0.688277,0.789866
2005-03-01,4.516448,2.652907,0.775846,-0.726688,0.244591
2005-04-01,5.011384,3.36289,0.27912,-0.219963,0.330286
2005-05-01,5.641575,3.644901,-0.603907,1.210978,1.325888
2005-06-01,5.910214,4.059152,-1.245191,2.240086,1.813791
2005-07-01,5.78096,3.500964,-1.818728,2.106824,1.614274
2005-08-01,5.527323,2.849804,-1.890702,2.440392,0.613495
2005-09-01,5.777472,2.344624,-2.084844,2.402464,1.019967
2005-10-01,5.918082,2.786933,-2.52003,4.426528,0.67879
2005-11-01,6.330806,3.85434,-2.828065,5.185132,0.594036
2005-12-01,6.578787,4.579817,-2.991573,5.360879,0.115302
2006-01-01,6.389214,3.70693,-1.958974,4.319759,-0.754027
2006-02-01,5.601782,1.99095,-1.125209,3.44766,-1.807301
2006-03-01,5.138581,0.863453,-0.106886,3.181852,-2.566829
2006-04-01,4.887856,0.882685,0.135246,3.161891,-2.100582
2006-05-01,5.152805,1.086463,0.371844,3.684733,-1.887493
2006-06-01,5.43677,1.228849,0.402528,3.766546,-1.86817
2006-07-01,5.6373,1.590508,0.617364,3.562078,-1.593484
2006-08-01,5.297132,1.643965,0.913938,2.326801,-0.899628
2006-09-01,5.221435,1.5718,1.104106,2.150237,-0.695852
2006-10-01,4.859179,1.011814,1.306512,0.477704,0.219922
2006-11-01,4.955663,0.988116,1.233219,0.464822,0.038627
2006-12-01,4.424613,0.978946,1.254416,-0.39343,0.992589
2007-01-01,4.3588,1.278152,1.128297,0.360175,0.223984
2007-02-01,4.056698,1.668079,1.209592,0.332247,0.464572
2007-03-01,3.837342,1.61364,1.079438,0.812729,0.072238
2007-04-01,3.850948,2.105592,1.187636,0.767743,-0.092072
2007-05-01,3.705783,2.52319,1.204964,0.927619,-0.596445
2007-06-01,3.4676,3.236461,1.42505,1.1736,-0.842012
2007-07-01,3.284063,3.509127,1.208955,1.823654,-0.648483
2007-08-01,2.638958,3.509253,0.884339,1.173808,-0.681075
2007-09-01,1.845951,3.797776,0.628407,0.635985,-0.982196
2007-10-01,0.737865,3.315559,0.327843,0.550397,-1.516739
2007-11-01,0.236361,3.326407,0.387959,0.377212,-1.230313
2007-12-01,-0.238865,3.010587,0.352115,0.55224,-1.259505
2008-01-01,-0.670441,3.48561,0.435473,-0.218523,-0.836222
2008-02-01,-1.365827,3.501601,0.335979,0.133982,-0.77484
2008-03-01,-2.381594,3.904187,0.351113,-0.572169,-0.018079
2008-04-01,-2.903465,3.883889,0.24133,0.037988,0.074975
2008-05-01,-3.241062,4.782752,0.111743,-0.336262,-0.308129
2008-06-01,-3.546205,5.634912,0.052378,-0.918734,-1.127556
2008-07-01,-4.394332,6.037009,0.322051,-2.041297,-1.13157
2008-08-01,-5.167644,6.195343,0.685997,-1.542661,-0.653153
2008-09-01,-5.433452,6.107044,0.87481,-1.119502,-0.076297
2008-10-01,-6.50179,6.081499,0.583641,-1.043029,0.138952
2008-11-01,-7.227428,6.369764,0.164304,-1.57319,1.026513
2008-12-01,-7.939435,6.619479,-0.361221,-1.784612,1.901424
2009-01-01,-8.626121,7.577795,-0.874668,-1.644712,2.413253
2009-02-01,-9.375372,7.261433,-1.594161,-2.026957,2.635377
2009-03-01,-10.02121,6.586291,-2.29641,-2.64973,2.599206
2009-04-01,-10.043157,5.984296,-2.734729,-3.149402,2.201143
2009-05-01,-9.769683,5.70577,-2.766868,-2.770989,1.59629
2009-06-01,-8.894812,5.116841,-3.208547,-1.446174,1.489176
2009-07-01,-7.913881,4.505555,-3.462764,-0.855412,1.324514
2009-08-01,-7.207239,3.89629,-3.606275,-0.434704,0.777651
2009-09-01,-7.09608,3.692412,-3.322399,0.304752,-0.125473
2009-10-01,-7.112547,3.061562,-2.93872,0.809237,-0.693795
2009-11-01,-6.373261,2.621673,-2.578188,1.106971,-0.998302
2009-12-01,-5.721617,2.219286,-1.907796,1.154825,-0.840939
2010-01-01,-5.235055,1.507488,-1.349897,0.399002,-0.594558
2010-02-01,-6.027587,0.530161,-0.758772,0.465839,-1.262201
2010-03-01,-6.290576,-0.259091,-0.38209,0.961435,-1.953682
2010-04-01,-5.450213,0.093601,0.222544,2.291948,-2.572231
2010-05-01,-4.208272,0.612681,0.772039,1.694353,-1.771392
2010-06-01,-3.626853,0.499455,1.042847,1.025033,-0.150601
2010-07-01,-4.715571,0.637913,1.845199,0.503802,-0.63896
2010-08-01,-5.566589,0.649516,2.556525,1.017909,-1.794819
2010-09-01,-6.285921,1.039826,3.466929,-0.25723,-2.997171
2010-10-01,-6.135819,0.605834,3.184303,-0.98255,-2.091532
2010-11-01,-6.407579,0.234643,2.867267,-1.56386,-1.775776
2010-12-01,-6.488029,-0.666998,2.401052,-0.012474,-2.888475
2011-01-01,-6.757116,-1.112691,2.655499,1.238531,-3.771339
2011-02-01,-6.805322,-1.631335,3.076136,1.439444,-3.531849
2011-03-01,-6.941403,-1.68798,3.217725,0.790631,-3.174501
2011-04-01,-6.460585,-1.330321,2.70833,0.083445,-2.065081
2011-05-01,-6.085157,-1.028533,2.054485,1.000254,-1.341501
2011-06-01,-6.311904,-0.139257,2.31776,1.20763,-1.753459
2011-07-01,-5.990377,-0.421126,1.806397,1.766677,-1.339094
2011-08-01,-5.67494,-0.475574,1.47704,1.09663,-1.153426
2011-09-01,-5.036612,-0.970899,0.22755,1.262203,0.409599
2011-10-01,-5.536911,-0.471546,0.452093,0.887558,-0.451349
2011-11-01,-6.117779,-0.305834,0.471068,1.074502,-0.260846
2011-12-01,-6.959691,0.146682,0.628544,0.9454,-0.215818
2012-01-01,-7.256175,-0.324871,0.438402,0.622997,0.585486
2012-02-01,-7.636143,-0.165382,0.310976,0.189259,0.008356
2012-03-01,-7.796982,0.09036,0.606114,-0.894966,0.162225
2012-04-01,-8.204759,1.134372,0.991105,-0.592159,-0.128308
2012-05-01,-8.564155,1.442265,1.235417,-0.287112,-0.52876
2012-06-01,-8.327228,1.509756,0.719441,0.697084,-0.515738
2012-07-01,-7.880428,0.977485,0.269976,0.341755,-0.37162
2012-08-01,-7.769483,0.283966,-0.289491,-0.466329,0.748425
2012-09-01,-8.645101,-0.371216,0.284527,-0.480747,0.766847
2012-10-01,-9.172874,-1.490549,0.157112,0.219195,1.586062
2012-11-01,-9.464368,-1.537229,0.438292,1.861176,0.28597
2012-12-01,-8.889116,-1.929286,0.190694,1.977786,0.665966
2013-01-01,-8.943563,-1.445894,0.91147,2.778767,-0.15437
2013-02-01,-8.882184,-1.738874,1.274318,2.417455,1.292669
2013-03-01,-8.914512,-1.438136,1.282585,3.120769,1.480036
2013-04-01,-8.402062,-1.820523,0.832946,3.099431,1.512787
2013-05-01,-8.09132,-2.213824,0.329985,2.825695,1.374336
2013-06-01,-7.510433,-2.457216,0.467631,2.9309,1.191758
2013-07-01,-7.255669,-2.693937,0.431607,3.035354,1.979869
2013-08-01,-7.324602,-2.753158,0.58828,4.217474,1.935691
2013-09-01,-6.757276,-3.124164,0.127803,3.832829,1.886837
2013-10-01,-6.958721,-3.810987,0.124365,3.563286,1.253863
2013-11-01,-5.864357,-3.938671,0.001292,2.47955,1.807964
2013-12-01,-5.536624,-3.947693,0.391789,2.169001,2.543038
2014-01-01,-4.188333,-3.699333,-0.35057,1.041674,3.248283
2014-02-01,-3.270274,-4.107371,-1.069617,0.946684,2.743198
2014-03-01,-2.410387,-5.058993,-1.725463,1.091751,2.595864
2014-04-01,-2.007489,-5.514413,-1.772553,1.436083,3.207395
2014-05-01,-1.767732,-5.551725,-1.687525,1.976512,3.625397
2014-06-01,-1.869673,-5.70143,-1.370148,1.181712,2.986472
2014-07-01,-1.314871,-5.224685,-0.895164,1.307122,2.029266
2014-08-01,-0.779028,-5.012334,-0.660621,0.682174,1.296885
2014-09-01,0.017047,-4.188502,-0.648619,0.394109,1.52733
2014-10-01,0.356318,-3.895293,-0.615349,-0.11932,1.691931
2014-11-01,0.053617,-3.452906,-0.446683,-0.569266,2.038691
2014-12-01,-0.020648,-3.385186,-0.44326,-0.307343,1.431046
2015-01-01,-0.139353,-3.865087,-0.573358,-0.744277,1.232893
2015-02-01,0.051054,-3.802707,-0.555541,-1.088865,0.362974
2015-03-01,0.421151,-4.037935,-0.442945,-1.623075,0.068546
2015-04-01,0.828706,-4.022766,-0.405531,-1.103874,-0.413949
2015-05-01,1.236252,-4.203561,-0.296436,-1.02174,-0.009044
2015-06-01,1.171559,-4.20403,-0.433164,-0.789536,0.301982
2015-07-01,0.958114,-3.941933,-0.625072,-0.936395,-0.077533
2015-08-01,1.012656,-3.658228,-0.934615,-1.294292,-0.655333
2015-09-01,1.1917,-3.839133,-1.251797,-1.209008,-1.431203
2015-10-01,1.032581,-4.084437,-1.336223,-1.217876,-1.301406
2015-11-01,1.45546,-4.506652,-1.603549,-1.013496,-1.53307
2015-12-01,1.545915,-4.299299,-1.653348,-0.98624,-1.25326
2016-01-01,1.128869,-4.386898,-1.658477,-0.395622,-1.57963
2016-02-01,1.080736,-4.609434,-1.69073,-0.263948,-0.789595
2016-03-01,0.229833,-5.378664,-1.799039,-0.445058,-0.801652
2016-04-01,-0.296373,-5.329054,-1.610506,-0.935753,-0.479455
2016-05-01,-1.542653,-5.510685,-1.326421,-0.843729,-0.965728
2016-06-01,-1.806031,-5.104215,-0.984746,-0.47503,-0.406207
2016-07-01,-1.317642,-4.830851,-0.702302,-0.669485,0.157236
2016-08-01,-1.213168,-4.854794,-0.436931,-0.762061,1.453968
2016-09-01,-1.020437,-4.584142,-0.301152,-1.015608,1.62525
