_date_,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F
2005-03-01,-0.12623,-0.385352,-0.358413,0.13193,-0.449233
2005-04-01,-0.129084,0.033164,-0.061717,-0.54034,-0.381757
2005-05-01,-0.136268,-0.031918,-0.080848,0.084151,-0.606742
2005-06-01,-0.128312,-0.050605,0.351554,0.357333,-0.688534
2005-07-01,-0.378015,-0.432179,-0.276714,0.564658,-1.10053
2005-08-01,-0.369008,-0.272915,-0.216724,-0.202873,-1.334888
2005-09-01,-0.215565,0.217508,-0.270167,-0.107339,-1.49697
2005-10-01,-0.190813,-0.304358,0.045776,0.96882,-1.082716
2005-11-01,-0.109743,-0.234398,0.007881,-0.134751,-1.004662
2005-12-01,-0.295444,-0.084073,-0.398207,0.186886,-1.011265
2006-01-01,0.047909,0.246297,0.430195,-0.321548,-1.263346
2006-02-01,0.154899,0.750344,0.658114,0.160187,-1.48314
2006-03-01,0.536737,0.960591,1.398735,0.217178,-1.331076
2006-04-01,0.448548,0.096817,0.793952,1.490093,-1.273671
2006-05-01,0.54397,0.254669,0.756213,-0.409207,-1.198243
2006-06-01,0.581102,0.573246,0.111365,-0.230073,-1.048933
2006-07-01,0.7166,0.033156,0.923656,0.618075,-0.343458
2006-08-01,0.541977,0.201205,0.702228,-0.410223,-0.479075
2006-09-01,0.288981,0.122234,0.127546,0.347819,-0.181427
2006-10-01,0.550779,0.466998,0.760255,-0.545396,-0.423475
2006-11-01,0.356059,0.162787,0.243111,0.467197,-0.034203
2006-12-01,0.597128,0.293858,0.742892,-0.356652,-0.060013
2007-01-01,0.50303,0.481999,0.1444,-0.198589,0.245961
2007-02-01,0.642687,0.048224,0.519904,0.15892,0.425475
2007-03-01,0.382311,-0.135595,0.162565,0.066778,0.102331
2007-04-01,0.169241,-0.063091,0.034283,-0.183639,-0.204753
2007-05-01,0.002677,-0.195437,0.004208,0.198324,-0.207346
2007-06-01,0.034056,-0.014219,-0.040163,-0.134506,-0.000371
2007-07-01,0.267436,0.551908,0.029141,-0.571047,-0.173765
2007-08-01,0.614018,0.567245,0.497063,0.039115,-0.028806
2007-09-01,0.657275,0.241693,0.883296,0.262857,0.008932
2007-10-01,0.535477,0.364997,0.672913,-0.28078,-0.027009
2007-11-01,0.547979,0.621605,0.666787,-0.061446,-0.32987
2007-12-01,0.309596,-0.25696,0.567982,0.98578,-0.227836
2008-01-01,0.147893,-0.159132,0.349849,-0.407144,-0.564538
2008-02-01,0.247796,0.693923,-0.142137,-0.616649,-0.449048
2008-03-01,0.461777,-0.039135,0.358099,0.742373,0.132778
2008-04-01,0.643784,0.635056,1.000063,-1.280261,0.074243
2008-05-01,0.322143,0.539982,0.288753,0.743627,0.347522
2008-06-01,0.049857,-0.795552,0.663934,1.209643,0.87288
2008-07-01,-0.527184,-0.266329,-0.507034,-0.896522,0.403328
2008-08-01,-0.684767,-0.186899,-1.007147,0.376732,0.935668
2008-09-01,-0.378883,0.0673,0.18998,-0.403506,0.39492
2008-10-01,-0.962944,-0.578074,-0.582765,1.046708,0.605591
2008-11-01,-1.898415,-2.195767,-0.922919,1.78696,0.636903
2008-12-01,-3.21313,-2.475952,-2.63187,0.307866,0.13335
2009-01-01,-4.438675,-3.393872,-4.31549,1.586165,0.301252
2009-02-01,-5.334268,-4.225724,-4.896487,0.966887,0.116071
2009-03-01,-5.855946,-3.261196,-5.952192,-0.590168,0.041747
2009-04-01,-5.676296,-3.225153,-6.176772,1.120268,0.14975
2009-05-01,-5.298223,-3.472397,-5.367646,0.473881,0.042519
