_date_,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F
2003-03-01,1.457293,1.414438,-0.063726,-0.768789,-1.017704,0.465412
2003-04-01,1.348439,0.873447,-0.4383,-1.533054,-0.621446,0.664843
2003-05-01,1.264498,0.775982,-0.489471,-0.51091,-0.886373,-0.078768
2003-06-01,1.215711,1.409212,-0.578869,0.181241,-1.119129,0.008365
2003-07-01,1.529682,2.052491,-0.434296,-0.246704,-1.044443,0.207781
2003-08-01,1.884266,2.70066,-0.605877,-0.389217,-1.090518,1.000088
2003-09-01,1.976506,2.163224,-0.836429,-0.707454,-1.049073,1.29803
2003-10-01,1.961207,1.707329,-1.058279,-0.904206,-1.063779,1.41768
2003-11-01,1.838836,1.627496,-1.087981,-0.007912,-0.937107,1.23532
2003-12-01,1.793621,1.579275,-1.147231,-0.371335,-0.769749,1.688857
2004-01-01,1.690616,1.10185,-1.194144,-1.062208,-0.354225,1.442904
2004-02-01,1.467545,1.117675,-1.002699,-0.148531,-0.94732,0.786868
2004-03-01,1.620712,1.621082,-0.746695,0.191197,-0.721423,0.52989
2004-04-01,2.199799,2.09221,-0.373294,-0.147655,-0.811665,0.49949
2004-05-01,2.477083,2.014507,-0.100325,-0.512005,-0.634297,0.675984
2004-06-01,2.681154,1.018317,-0.072116,-1.015402,-0.290286,0.644063
2004-07-01,2.598883,0.587402,-0.121239,-0.390208,-0.857976,0.388363
2004-08-01,2.525266,0.387035,-0.135097,-0.102603,-0.570657,0.646342
2004-09-01,2.729561,0.668378,-0.045193,-0.440079,-0.614503,0.512728
2004-10-01,2.642378,0.370577,-0.124428,-0.325688,-0.868184,0.625498
2004-11-01,2.496053,0.462687,0.014484,-0.65657,-1.02835,0.818702
2004-12-01,2.228216,0.443157,-0.060929,-0.131434,-1.137109,0.664439
2005-01-01,2.211122,1.252273,0.133186,0.040583,-1.349952,0.814174
2005-02-01,1.768155,1.167523,0.12456,-1.319769,-0.431923,1.257025
2005-03-01,1.309676,0.739957,0.32932,-1.554043,-1.121864,0.529128
2005-04-01,0.728212,0.588045,0.459106,-0.661752,-1.037349,0.324057
2005-05-01,0.679333,0.316789,0.259504,-0.733447,-0.892032,0.190102
2005-06-01,0.661402,0.622142,-0.057474,-0.020132,-1.485969,0.352983
2005-07-01,0.824692,0.754834,-0.307782,0.15034,-0.761984,1.341094
2005-08-01,1.121315,0.481149,-0.321912,-0.452828,-0.453583,1.575553
2005-09-01,1.249749,0.049703,-0.283213,0.174157,-0.750047,1.299487
2005-10-01,1.154873,-0.157392,-0.133479,0.028777,-0.180991,1.324045
2005-11-01,1.317824,0.028424,-0.002045,0.01098,-0.264915,0.790351
2005-12-01,1.725881,0.588863,0.010499,0.443185,-0.663273,1.055143
2006-01-01,2.037688,0.639528,0.716287,-0.413115,-0.719336,1.147884
2006-02-01,2.333012,0.371228,1.233064,-0.236161,-1.263251,0.763276
2006-03-01,2.383869,0.412859,1.645792,0.778738,-1.30592,0.682439
2006-04-01,2.549771,-0.143344,1.372892,0.132657,0.12575,1.284674
2006-05-01,2.712743,0.009222,1.14893,0.246843,-0.482543,1.212733
2006-06-01,3.088991,0.126389,1.366369,0.947077,-0.184176,1.339025
2006-07-01,3.607351,0.358211,1.259799,-0.637887,-0.343725,1.552301
2006-08-01,3.752362,0.080814,1.070644,-0.634846,-1.248278,0.839669
2006-09-01,3.575913,0.279108,0.590739,-0.324673,-1.7308,1.412127
2006-10-01,3.952492,0.618924,0.571734,0.151095,-1.574704,1.186027
2006-11-01,3.997173,0.314241,0.411194,-0.210723,-0.488826,1.659845
2006-12-01,4.462739,-0.088381,0.328382,-0.174479,-0.750611,0.869825
2007-01-01,4.131205,-0.020209,-0.50748,0.3249,-0.254352,0.628648
2007-02-01,4.099531,-0.013424,-1.464448,-0.29211,0.051858,0.317887
2007-03-01,3.936385,0.515852,-2.235078,-0.146747,0.228473,0.185648
2007-04-01,4.131269,0.700018,-2.408015,0.249367,-0.607461,0.356242
2007-05-01,4.251223,0.690665,-2.185341,-0.500111,-0.235424,0.792895
2007-06-01,3.859324,0.37129,-2.208398,-0.647349,-0.693758,0.269647
2007-07-01,3.70177,0.048023,-1.953756,0.418609,-0.273373,0.079111
2007-08-01,3.527584,0.117513,-1.939216,0.020839,0.376043,0.414296
2007-09-01,3.35035,-0.174044,-1.762885,-0.295493,0.202705,0.168066
2007-10-01,2.852146,0.102013,-1.591846,-0.475579,-0.170089,0.063795
2007-11-01,2.641729,0.530347,-1.445354,0.16219,-1.191028,-0.166541
2007-12-01,2.113001,0.484486,-1.368159,-0.811815,-0.299303,0.94785
2008-01-01,1.642868,-0.060904,-1.07838,-0.945107,-0.895577,0.719757
2008-02-01,1.037603,0.178532,-0.125707,-0.000378,-0.778126,0.772998
2008-03-01,0.358216,-0.424161,0.547441,-1.058155,-0.443062,0.459675
2008-04-01,-0.09366,-0.026701,0.797187,-0.799368,-1.347789,0.219281
2008-05-01,-1.181601,-0.337684,0.800931,-0.559617,-0.645501,0.7779
2008-06-01,-2.243988,-0.895546,0.890142,-2.375474,-0.466933,1.182513
2008-07-01,-3.502166,-1.051669,1.162325,-1.171655,-1.523385,0.362633
2008-08-01,-4.213179,-0.620303,1.227646,0.657668,-2.315565,0.897504
2008-09-01,-4.71418,-0.288494,1.665989,-1.285886,-0.083,1.846188
2008-10-01,-6.530726,-0.987364,1.306054,-3.20509,-0.186617,1.420406
2008-11-01,-9.299717,-1.769246,1.098166,-4.037923,-0.966213,0.7296
2008-12-01,-12.246655,-1.915475,0.64605,-3.019743,-2.563543,-0.23481
2009-01-01,-14.562581,-1.442831,0.283432,-1.040069,-2.864266,0.537038
2009-02-01,-16.537751,-1.151922,-0.027505,-1.40878,-0.685186,2.280963
2009-03-01,-17.74795,-0.900724,-0.159571,-1.064244,-0.329409,2.621742
2009-04-01,-18.382164,-0.648406,0.041452,-0.007014,-0.133504,2.326521
2009-05-01,-17.951253,-0.042274,0.13593,0.8274,-0.750394,1.743223
2009-06-01,-16.801904,1.177952,0.245688,1.700728,-0.058533,2.19806
2009-07-01,-15.751119,1.989613,0.102316,0.61139,0.749828,2.629862
2009-08-01,-14.116126,2.205368,0.277325,-0.866031,1.248791,2.3631
2009-09-01,-13.193201,1.877696,0.043345,-0.641331,-0.248075,1.045246
2009-10-01,-11.456684,2.018662,0.344144,1.03352,-1.489237,0.343518
2009-11-01,-9.997076,2.659241,1.020483,1.658042,0.286082,0.601584
