_date_,FAG1F,FAG2F,FAG3F,FAG4F,FAG5F,FCON1F,FCON2F,FCON3F,FCON4F,FCON5F,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F,FCPU1F,FCPU2F,FCPU3F,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F,FIMP1F,FIMP2F,FIMP3F,FIMP4F,FIMPU1F,FIMPU2F,FIMPU3F,FIMPU4F,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F,FINV1F,FINV2F,FINV3F,FINV4F,FINV5F,FSER1F,FSER2F,FSER3F,FSER4F,FSER5F,FSER6F,f202004,f202003,fvirus
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1995-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1996-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0
1996-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.338876,-0.308292,0.34282,0.075102,,,,,,,,,,,,,,,,,,0,0,0.0
1996-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.087108,-0.437546,0.130279,0.034108,,,,,,,,,,,,,,,,,,0,0,0.0
1996-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016756,-0.53322,0.080135,-0.028031,,,,,,,,,,,,,,,,,,0,0,0.0
1996-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005348,-0.545595,0.033884,0.026596,,,,,,,,,,,,,,,,,,0,0,0.0
1996-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02659,-0.530402,-0.038552,-0.011776,,,,,,,,,,,,,,,,,,0,0,0.0
1996-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.068478,-0.47073,-0.023361,-0.021784,,,,,,,,,,,,,,,,,,0,0,0.0
1996-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.079798,-0.451168,0.036415,-0.035089,,,,,,,,,,,,,,,,,,0,0,0.0
1996-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.077947,-0.448311,0.040478,0.012005,,,,,,,,,,,,,,,,,,0,0,0.0
1996-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.045776,-0.43242,0.0201,-0.020763,,,,,,,,,,,,,,,,,,0,0,0.0
1996-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026301,-0.382813,0.014376,0.003098,,,,,,,,,,,,,,,,,,0,0,0.0
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.436292,0.078565,-0.782993,0.457148,,,,,,,,,,,,,,,,,,0,0,0.0
1997-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.327505,0.28935,0.019258,-0.899899,,,,,,,,,,,,,,,,,,0,0,0.0
1997-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.610003,-0.376323,0.696079,-0.2534,-0.180671,0.362971,0.815266,0.459982,,,,,,,,,,,,,,,,,,0,0,0.0
1997-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.080083,-1.628919,-0.447664,0.449534,0.270807,-0.118237,-0.021853,0.027822,,,,,,,,,,,,,,,,,,0,0,0.0
1997-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.146211,-1.783095,-0.900738,-0.086092,0.187213,-0.215246,-0.016194,-0.046598,,,,,,,,,,,,,,,,,,0,0,0.0
1997-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.163169,-1.856062,-0.364814,0.130372,0.103692,-0.262272,0.011575,0.014018,,,,,,,,,,,,,,,,,,0,0,0.0
1997-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.344724,-0.608906,0.68686,-0.770471,0.075957,-0.303426,0.001287,-0.025809,,,,,,,,,,,,,,,,,,0,0,0.0
1997-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.762538,-0.848431,0.199545,-0.485522,0.059993,-0.314238,0.031501,-0.009965,,,,,,,,,,,,,,,,,,0,0,0.0
1997-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.27313,-1.171976,0.41547,-0.258107,0.065939,-0.326366,0.025549,-0.005535,,,,,,,,,,,,,,,,,,0,0,0.0
1997-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.787948,-1.821282,0.107638,0.109774,0.075711,-0.344915,0.033501,-0.019729,,,,,,,,,,,,,,,,,,0,0,0.0
1997-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.930893,-1.96691,-0.734775,-0.244672,0.060277,-0.377366,0.027823,0.001577,,,,,,,,,,,,,,,,,,0,0,0.0
1997-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.720832,-2.256703,-0.903913,-0.134866,0.031843,-0.414509,0.007493,-0.011824,,,,,,,,,,,,,,,,,,0,0,0.0
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.41383,-2.312162,-0.650002,-0.067085,0.052386,-0.436058,0.071591,-0.048494,,,,,,,,,,,,,,,,,,0,0,0.0
1998-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.382152,-2.498385,-0.848398,-0.040007,0.171054,-0.428858,0.143466,-0.0191,,,,,,,,,,,,,,,,,,0,0,0.0
1998-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.477034,-2.257845,-0.391164,0.240933,0.161334,-0.554386,0.045237,0.04212,,,,,,,,,,,,,,,,,,0,0,0.0
