_date_	fcpu1	fcpu2	fcpu3
1995-01-01	NaN	NaN	NaN
1995-02-01	NaN	NaN	NaN
1995-03-01	NaN	NaN	NaN
1995-04-01	NaN	NaN	NaN
1995-05-01	NaN	NaN	NaN
1995-06-01	NaN	NaN	NaN
1995-07-01	NaN	NaN	NaN
1995-08-01	NaN	NaN	NaN
1995-09-01	NaN	NaN	NaN
1995-10-01	NaN	NaN	NaN
1995-11-01	NaN	NaN	NaN
1995-12-01	NaN	NaN	NaN
1996-01-01	NaN	NaN	NaN
1996-02-01	NaN	NaN	NaN
1996-03-01	NaN	NaN	NaN
1996-04-01	NaN	NaN	NaN
1996-05-01	NaN	NaN	NaN
1996-06-01	NaN	NaN	NaN
1996-07-01	NaN	NaN	NaN
1996-08-01	NaN	NaN	NaN
1996-09-01	NaN	NaN	NaN
1996-10-01	NaN	NaN	NaN
1996-11-01	NaN	NaN	NaN
1996-12-01	NaN	NaN	NaN
1997-01-01	NaN	NaN	NaN
1997-02-01	NaN	NaN	NaN
1997-03-01	NaN	NaN	NaN
1997-04-01	NaN	NaN	NaN
1997-05-01	NaN	NaN	NaN
1997-06-01	NaN	NaN	NaN
1997-07-01	NaN	NaN	NaN
1997-08-01	NaN	NaN	NaN
1997-09-01	NaN	NaN	NaN
1997-10-01	NaN	NaN	NaN
1997-11-01	NaN	NaN	NaN
1997-12-01	NaN	NaN	NaN
1998-01-01	NaN	NaN	NaN
1998-02-01	NaN	NaN	NaN
1998-03-01	NaN	NaN	NaN
1998-04-01	NaN	NaN	NaN
1998-05-01	NaN	NaN	NaN
1998-06-01	NaN	NaN	NaN
1998-07-01	NaN	NaN	NaN
1998-08-01	NaN	NaN	NaN
1998-09-01	NaN	NaN	NaN
1998-10-01	NaN	NaN	NaN
1998-11-01	NaN	NaN	NaN
1998-12-01	NaN	NaN	NaN
1999-01-01	NaN	NaN	NaN
1999-02-01	NaN	NaN	NaN
1999-03-01	NaN	NaN	NaN
1999-04-01	NaN	NaN	NaN
1999-05-01	NaN	NaN	NaN
1999-06-01	NaN	NaN	NaN
1999-07-01	NaN	NaN	NaN
1999-08-01	NaN	NaN	NaN
1999-09-01	NaN	NaN	NaN
1999-10-01	NaN	NaN	NaN
1999-11-01	NaN	NaN	NaN
1999-12-01	NaN	NaN	NaN
2000-01-01	NaN	NaN	NaN
2000-02-01	NaN	NaN	NaN
2000-03-01	NaN	NaN	NaN
