_date_	fimp1	fimp2	fimp3	fimp4
1995-01-01	NaN	NaN	NaN	NaN
1995-02-01	NaN	NaN	NaN	NaN
1995-03-01	NaN	NaN	NaN	NaN
1995-04-01	NaN	NaN	NaN	NaN
1995-05-01	NaN	NaN	NaN	NaN
1995-06-01	NaN	NaN	NaN	NaN
1995-07-01	NaN	NaN	NaN	NaN
1995-08-01	NaN	NaN	NaN	NaN
1995-09-01	NaN	NaN	NaN	NaN
1995-10-01	NaN	NaN	NaN	NaN
1995-11-01	NaN	NaN	NaN	NaN
1995-12-01	NaN	NaN	NaN	NaN
1996-01-01	NaN	NaN	NaN	NaN
1996-02-01	NaN	NaN	NaN	NaN
1996-03-01	NaN	NaN	NaN	NaN
1996-04-01	NaN	NaN	NaN	NaN
1996-05-01	NaN	NaN	NaN	NaN
1996-06-01	NaN	NaN	NaN	NaN
1996-07-01	NaN	NaN	NaN	NaN
1996-08-01	NaN	NaN	NaN	NaN
1996-09-01	NaN	NaN	NaN	NaN
1996-10-01	NaN	NaN	NaN	NaN
1996-11-01	NaN	NaN	NaN	NaN
1996-12-01	NaN	NaN	NaN	NaN
1997-01-01	NaN	NaN	NaN	NaN
1997-02-01	NaN	NaN	NaN	NaN
1997-03-01	1.610003	-0.376323	0.696079	-0.253400
1997-04-01	2.080083	-1.628919	-0.447664	0.449534
1997-05-01	2.146211	-1.783095	-0.900738	-0.086092
1997-06-01	2.163169	-1.856062	-0.364814	0.130372
1997-07-01	2.344724	-0.608906	0.686860	-0.770471
1997-08-01	2.762538	-0.848431	0.199545	-0.485522
1997-09-01	3.273130	-1.171976	0.415470	-0.258107
1997-10-01	3.787948	-1.821282	0.107638	0.109774
1997-11-01	3.930893	-1.966910	-0.734775	-0.244672
1997-12-01	3.720832	-2.256703	-0.903913	-0.134866
1998-01-01	3.413830	-2.312162	-0.650002	-0.067085
1998-02-01	3.382152	-2.498385	-0.848398	-0.040007
1998-03-01	3.477034	-2.257845	-0.391164	0.240933
1998-04-01	3.136898	-0.653136	0.161272	-1.252680
1998-05-01	3.201992	-0.303749	0.403449	-1.220962
1998-06-01	3.166010	-0.322275	1.040972	-1.195100
1998-07-01	3.268783	-1.379349	-0.433920	-0.549259
1998-08-01	3.499875	-1.677320	0.025968	-0.455497
1998-09-01	2.849786	-1.342042	-0.437184	-0.913226
1998-10-01	2.266113	-1.002917	-1.083576	-1.727920
1998-11-01	1.684814	-1.402841	0.239624	-0.732082
1998-12-01	2.106016	-1.436274	0.707443	-0.741331
1999-01-01	2.242447	-0.960031	-0.257728	-1.034823
1999-02-01	1.776418	-0.282428	-0.218062	-1.311060
1999-03-01	1.504357	-0.622260	0.291100	-0.493899
1999-04-01	1.525137	-1.019793	-0.207684	-0.039353
1999-05-01	1.904945	-1.368113	-0.335436	0.465508
1999-06-01	1.636484	-1.273854	-0.697536	0.448528
1999-07-01	1.711585	-1.160135	-0.924509	0.491480
1999-08-01	0.958923	-0.765112	-0.928120	0.685746
1999-09-01	1.221687	-0.618754	-0.366630	0.903146
1999-10-01	1.569690	-0.441258	0.568236	1.366681
1999-11-01	2.138742	-0.142431	-0.358660	0.813841
1999-12-01	2.386853	-0.156128	-0.240124	1.071706
2000-01-01	2.408655	-0.489049	-0.172799	1.160714
2000-02-01	2.700989	-0.510311	-0.613049	1.168135
2000-03-01	2.319758	-0.431419	-0.814364	1.048155
2000-04-01	2.101995	-0.154429	-0.695889	0.930439
2000-05-01	1.794712	-0.202198	-0.448376	0.851031
2000-06-01	1.958111	-0.201612	-0.222156	0.901096
2000-07-01	1.905926	-0.185604	-0.236598	0.822696
2000-08-01	2.240356	-0.222979	-0.143009	1.100619
2000-09-01	1.672342	0.094202	-0.774213	0.768484
2000-10-01	1.385975	-0.012415	-1.103642	0.827439
2000-11-01	0.836488	-0.174416	-0.308796	1.250356
2000-12-01	0.633734	-0.349873	-1.180598	1.154200
2001-01-01	0.721052	-0.815860	-0.690390	1.372587
2001-02-01	0.571224	-0.958871	-0.451679	1.110841
2001-03-01	0.669207	-0.639078	-0.905504	0.217865
2001-04-01	0.358440	-0.578415	-0.312833	0.393473
2001-05-01	-0.206987	-0.188194	-0.709468	0.115311
2001-06-01	-0.367629	-0.478376	-0.767043	0.563149
2001-07-01	-0.991972	-0.367397	-0.543063	0.620365
2001-08-01	-0.718897	-0.636748	-0.552908	0.527714
2001-09-01	-0.833899	-0.735886	-0.170394	0.472314
2001-10-01	-0.726913	-0.772552	-0.676807	0.137923
2001-11-01	-1.131516	-0.840737	-0.717380	-0.034470
2001-12-01	-1.608543	-0.681859	-0.685326	-0.275943
2002-01-01	-1.662561	-0.644625	-0.147395	0.252211
2002-02-01	-1.654980	-0.428446	-0.073368	0.379804
2002-03-01	-2.099461	0.076862	-1.111970	0.018575
2002-04-01	-2.197811	-0.036289	-0.166474	0.374766
2002-05-01	-2.225041	0.238710	0.652125	0.366430
2002-06-01	-1.830016	0.605921	-0.048770	-0.618643
2002-07-01	-1.189033	0.123893	1.152932	-0.353367
2002-08-01	-0.528217	-0.228318	1.169323	-0.467434
2002-09-01	0.301907	-0.352352	0.059561	-0.674607
2002-10-01	0.381583	-0.493621	0.305780	-0.254001
2002-11-01	0.495903	-0.282964	0.039463	-0.058260
2002-12-01	0.886551	-0.387051	0.138235	0.440569
2003-01-01	0.534373	-0.101484	-0.452229	0.077578
2003-02-01	0.409132	-0.112519	-0.743780	0.041009
2003-03-01	0.416344	-0.522985	0.431144	0.704214
2003-04-01	0.994431	-0.757813	0.070578	0.524206
2003-05-01	1.430001	-1.008679	-0.459090	0.336222
2003-06-01	1.148895	-0.835841	-0.545666	0.247973
2003-07-01	0.903016	-0.614853	-0.613335	0.283284
2003-08-01	0.394537	-0.296020	-0.518680	0.169573
2003-09-01	0.391213	-0.435888	-0.295401	0.545104
2003-10-01	0.175672	-0.210682	-0.152908	0.273718
2003-11-01	0.381789	-0.234971	-0.172810	0.077218
2003-12-01	0.126593	0.062065	0.111712	-0.310113
2004-01-01	0.445942	-0.165169	0.225055	-0.158414
2004-02-01	0.763897	-0.335342	0.639604	0.052338
2004-03-01	1.474023	-0.504908	0.409051	-0.155671
2004-04-01	1.777201	-0.379426	0.302804	-0.422510
2004-05-01	1.865625	-0.212732	0.184672	-0.783092
2004-06-01	2.195647	-0.390770	0.626124	-0.277323
2004-07-01	2.331807	-0.311075	0.402244	-0.214521
2004-08-01	2.300185	-0.096008	-0.347661	-0.148290
2004-09-01	1.799685	0.037502	-0.115041	-0.309187
2004-10-01	1.216175	0.155118	-0.353288	-0.376881
2004-11-01	1.219354	-0.301993	0.057141	0.148516
2004-12-01	1.538240	-0.670419	0.500108	0.461610
2005-01-01	1.918194	-0.704633	-0.359819	0.231382
2005-02-01	1.608825	-0.676342	-0.852918	-0.004684
2005-03-01	1.117651	-0.755982	-0.665510	0.346552
2005-04-01	1.023692	-0.668852	-0.181816	0.580655
2005-05-01	0.833499	-0.649031	-0.718660	0.724025
2005-06-01	0.508405	-0.625012	-1.076444	0.581165
2005-07-01	-0.286727	-0.590303	-1.182545	0.721570
2005-08-01	-0.100916	-0.879285	-0.481104	1.352469
2005-09-01	0.066217	-1.002653	-0.284621	1.529957
2005-10-01	0.263151	-0.800076	-1.277414	0.992395
2005-11-01	0.137299	-0.708210	-0.575832	0.904659
2005-12-01	-0.091546	-0.559941	-0.536132	0.973210
2006-01-01	0.440502	-0.959296	-0.541049	1.139766
2006-02-01	0.622008	-1.257415	-0.433138	1.437934
2006-03-01	1.151146	-1.334497	-0.811612	1.294532
2006-04-01	0.327906	-0.853323	-1.652380	0.607789
2006-05-01	0.522978	-0.971090	-0.508927	0.744927
2006-06-01	0.710057	-1.121989	0.754895	0.797711
2006-07-01	1.534481	-0.884494	-0.518583	-0.105354
2006-08-01	1.560820	-1.021429	-0.191453	-0.152473
2006-09-01	1.191648	-0.658023	-0.236853	-0.315128
2006-10-01	1.825013	-1.175351	0.170270	0.034245
2006-11-01	1.779048	-0.955390	0.261160	-0.074282
2006-12-01	1.788217	-0.645232	-0.810747	-0.874362
2007-01-01	1.409562	-0.478394	0.302710	-0.603834
2007-02-01	1.382505	-0.399059	0.587753	-0.713750
2007-03-01	1.358737	-0.458316	-0.402143	-0.950696
2007-04-01	1.168670	-0.681993	-0.051003	-0.445817
2007-05-01	0.883973	-0.568900	-0.023020	-0.188086
2007-06-01	1.073243	-0.410529	-0.134748	-0.294135
2007-07-01	1.349133	-0.660607	0.481779	0.086504
2007-08-01	1.357223	-0.390945	-0.169640	-0.436614
2007-09-01	1.248398	-0.357354	-0.473328	-0.504059
2007-10-01	0.804496	-0.221664	0.169916	-0.262393
2007-11-01	0.547223	-0.188300	-0.493110	-0.292649
2007-12-01	0.677433	-0.597912	-0.138619	0.439252
2008-01-01	0.603751	-0.575737	-0.075529	0.630099
2008-02-01	1.024626	-0.499198	-0.431110	0.456672
2008-03-01	0.633788	-0.029223	-0.191293	0.182573
2008-04-01	0.918304	-0.072221	0.165670	0.166993
2008-05-01	0.052832	0.437532	-0.502306	-0.254190
2008-06-01	-0.927091	1.205032	-1.130059	-0.567658
2008-07-01	-2.003473	1.337251	0.308523	0.214229
2008-08-01	-2.321750	1.803054	0.445555	-0.001845
2008-09-01	-2.167752	1.452762	0.154201	0.282214
2008-10-01	-3.338167	2.053779	-0.534355	-0.182815
2008-11-01	-5.118782	2.667786	-1.672827	-0.511571
2008-12-01	-7.274004	2.977038	-0.749477	0.204934
2009-01-01	-9.673458	3.916856	-1.079250	0.036999
2009-02-01	-10.561242	3.646365	-0.380951	1.007423
2009-03-01	-11.475194	3.968628	0.970692	1.052120
2009-04-01	-11.151732	3.892450	0.034663	0.630916
2009-05-01	-11.344158	3.921296	0.722117	0.545117
2009-06-01	-10.787359	3.237136	0.969772	1.037027
2009-07-01	-9.713399	2.891616	1.383159	0.861194
2009-08-01	-8.216341	2.242236	1.589078	0.729221
2009-09-01	-6.869143	2.240685	1.596003	0.092562
2009-10-01	-5.366007	1.777715	1.708969	-0.124874
2009-11-01	-3.365462	1.093297	2.632560	0.020138
2009-12-01	-1.599121	1.040529	2.204302	-1.163739
2010-01-01	0.386570	0.413865	1.972651	-1.420900
2010-02-01	0.623425	0.908397	1.542463	-2.090555
2010-03-01	2.236440	0.068409	1.766780	-1.229008
2010-04-01	2.770310	0.334139	2.519241	-1.164629
2010-05-01	4.415316	-0.002292	1.225004	-1.457916
2010-06-01	4.275785	0.021364	0.961028	-1.331383
2010-07-01	3.819051	-0.072975	-0.495601	-1.197678
2010-08-01	2.677639	0.045582	-0.521489	-0.727003
2010-09-01	1.379021	0.266108	-0.616695	-0.710421
2010-10-01	0.885912	0.160627	-0.167517	-0.342164
2010-11-01	0.661896	0.006612	0.455456	0.006517
2010-12-01	1.149896	-0.131093	0.180297	0.367811
2011-01-01	1.794784	-0.471102	0.483635	0.740411
2011-02-01	2.197342	-0.671252	-0.062407	0.296233
2011-03-01	2.074539	-0.548991	-0.778982	-0.335834
2011-04-01	1.180225	-0.539921	-0.989846	-0.386299
2011-05-01	0.621082	-0.537798	-0.544454	-0.172707
2011-06-01	0.130591	-0.345477	-0.309474	-0.226231
2011-07-01	-0.240148	0.189467	-0.375038	-0.973540
2011-08-01	0.051642	-0.182908	0.684216	0.054910
2011-09-01	0.734218	-0.347393	1.021414	0.051105
2011-10-01	0.942547	-0.090343	-0.724718	-0.281338
2011-11-01	0.056529	0.267333	-0.977596	-0.544018
2011-12-01	-0.885411	0.218916	-0.368610	-0.117050
2012-01-01	-1.683417	0.401198	-0.590843	-0.357399
2012-02-01	-2.016756	0.500427	-0.320940	0.209658
2012-03-01	-2.922645	1.029860	-0.416955	0.492106
2012-04-01	-3.226058	1.336759	-0.646167	0.727542
2012-05-01	-3.872920	1.538935	0.000985	1.011228
2012-06-01	-3.337333	1.292665	0.474545	0.985936
2012-07-01	-2.649325	0.892940	0.774117	1.254024
2012-08-01	-2.191967	1.107226	-0.008913	0.300158
2012-09-01	-2.881410	1.603119	-0.786507	0.045943
2012-10-01	-3.354342	1.625522	0.149501	0.308594
2012-11-01	-3.519952	1.301657	0.526206	0.602406
2012-12-01	-3.443510	1.293408	-0.253810	-0.049632
2013-01-01	-2.709219	0.505266	0.953870	0.638272
2013-02-01	-2.583174	0.481891	0.512671	0.071915
2013-03-01	-2.340683	0.462478	-0.846813	-0.787727
2013-04-01	-1.831659	-0.211409	1.629851	0.216778
2013-05-01	-0.852409	-0.350609	1.207536	0.034267
2013-06-01	-0.275094	-0.172704	-0.947445	-0.609045
2013-07-01	-1.221667	0.005094	-0.604514	-0.180077
2013-08-01	-1.635377	0.056631	-0.163195	0.357555
2013-09-01	-1.257991	-0.233613	0.209584	0.831611
2013-10-01	-0.582607	-0.464334	0.349523	0.639104
2013-11-01	-0.105403	-0.219110	0.034599	0.040260
2013-12-01	0.152732	-0.160128	0.177192	-0.184345
2014-01-01	0.209730	-0.108119	0.317343	-0.273569
2014-02-01	0.811980	-0.446948	0.530288	-0.174441
2014-03-01	1.665050	-0.769062	1.061787	-0.031080
2014-04-01	1.540719	-0.450112	-0.584092	-0.849739
2014-05-01	1.290455	-0.386354	-0.593310	-0.801192
2014-06-01	0.717585	-0.545069	0.598986	-0.331004
2014-07-01	1.635531	-0.830882	0.579689	-0.330781
2014-08-01	1.686120	-0.834736	0.136457	-0.945062
2014-09-01	1.941154	-0.803828	0.000463	-1.108583
2014-10-01	1.747945	-0.894605	0.531619	-0.897612
2014-11-01	1.677309	-0.774240	-0.227185	-1.104451
2014-12-01	1.259099	-0.774229	-0.345932	-0.858739
2015-01-01	0.251132	-0.344281	-0.611237	-0.892457
2015-02-01	0.185531	-0.490540	0.048743	-0.391049
2015-03-01	0.194035	-0.617556	0.630421	-0.150863
2015-04-01	0.821093	-0.631829	-0.038327	-0.400519
2015-05-01	0.542151	-0.508423	-0.226924	-0.503560
2015-06-01	0.890678	-0.642026	0.382556	-0.192792
2015-07-01	1.096231	-0.724673	0.546429	-0.274232
2015-08-01	1.387922	-0.617166	-0.188137	-0.879634
2015-09-01	1.100689	-0.618922	0.076600	-0.988699
