_date_	fimpu1	fimpu2	fimpu3	fimpu4
1995-01-01	NaN	NaN	NaN	NaN
1995-02-01	NaN	NaN	NaN	NaN
1995-03-01	NaN	NaN	NaN	NaN
1995-04-01	NaN	NaN	NaN	NaN
1995-05-01	NaN	NaN	NaN	NaN
1995-06-01	NaN	NaN	NaN	NaN
1995-07-01	NaN	NaN	NaN	NaN
1995-08-01	NaN	NaN	NaN	NaN
1995-09-01	NaN	NaN	NaN	NaN
1995-10-01	NaN	NaN	NaN	NaN
1995-11-01	NaN	NaN	NaN	NaN
1995-12-01	NaN	NaN	NaN	NaN
1996-01-01	NaN	NaN	NaN	NaN
1996-02-01	NaN	NaN	NaN	NaN
1996-03-01	-0.338876	-0.308292	0.342820	0.075102
1996-04-01	-0.087108	-0.437546	0.130279	0.034108
1996-05-01	-0.016756	-0.533220	0.080135	-0.028031
1996-06-01	-0.005348	-0.545595	0.033884	0.026596
1996-07-01	-0.026590	-0.530402	-0.038552	-0.011776
1996-08-01	-0.068478	-0.470730	-0.023361	-0.021784
1996-09-01	-0.079798	-0.451168	0.036415	-0.035089
1996-10-01	-0.077947	-0.448311	0.040478	0.012005
1996-11-01	-0.045776	-0.432420	0.020100	-0.020763
1996-12-01	-0.026301	-0.382813	0.014376	0.003098
1997-01-01	-0.436292	0.078565	-0.782993	0.457148
1997-02-01	-0.327505	0.289350	0.019258	-0.899899
1997-03-01	-0.180671	0.362971	0.815266	0.459982
1997-04-01	0.270807	-0.118237	-0.021853	0.027822
1997-05-01	0.187213	-0.215246	-0.016194	-0.046598
1997-06-01	0.103692	-0.262272	0.011575	0.014018
1997-07-01	0.075957	-0.303426	0.001287	-0.025809
1997-08-01	0.059993	-0.314238	0.031501	-0.009965
1997-09-01	0.065939	-0.326366	0.025549	-0.005535
1997-10-01	0.075711	-0.344915	0.033501	-0.019729
1997-11-01	0.060277	-0.377366	0.027823	0.001577
1997-12-01	0.031843	-0.414509	0.007493	-0.011824
1998-01-01	0.052386	-0.436058	0.071591	-0.048494
1998-02-01	0.171054	-0.428858	0.143466	-0.019100
1998-03-01	0.161334	-0.554386	0.045237	0.042120
1998-04-01	0.123398	-0.662555	0.015841	-0.061870
1998-05-01	0.005853	-0.750491	0.044509	0.011090
1998-06-01	0.042667	-0.726034	0.031656	-0.043543
1998-07-01	0.053710	-0.694120	0.049088	-0.005753
1998-08-01	0.059349	-0.703247	0.034082	-0.024006
1998-09-01	0.071441	-0.699380	0.054153	-0.026430
1998-10-01	0.085332	-0.704190	0.053832	-0.012430
1998-11-01	0.111715	-0.711067	0.055299	-0.029025
1998-12-01	0.108478	-0.715531	0.036065	-0.000859
1999-01-01	0.483090	-0.905460	0.564370	-0.356226
1999-02-01	0.467425	-1.079898	0.140530	0.531915
1999-03-01	0.547403	-1.030505	-0.428750	-0.273189
1999-04-01	0.290122	-0.721522	0.020013	-0.044322
1999-05-01	0.383729	-0.540092	-0.001595	0.005984
1999-06-01	0.345438	-0.539755	-0.020585	-0.035702
1999-07-01	0.303371	-0.543473	0.026958	-0.031008
1999-08-01	0.300485	-0.538524	0.028998	-0.008978
1999-09-01	0.284495	-0.530312	-0.006103	-0.008682
1999-10-01	0.281724	-0.512876	0.018667	-0.043138
1999-11-01	0.275603	-0.498445	0.031760	-0.000646
1999-12-01	0.301618	-0.503416	0.036684	-0.038554
2000-01-01	0.226200	-0.559791	0.001472	0.020981
2000-02-01	0.287761	-0.549246	0.066842	-0.095093
2000-03-01	0.331086	-0.565649	0.130711	0.019420
2000-04-01	0.443826	-0.503411	-0.008259	0.016309
2000-05-01	0.404591	-0.481067	-0.047062	-0.033777
2000-06-01	0.398748	-0.415539	0.013006	-0.039138
2000-07-01	0.397630	-0.385554	0.013148	0.003690
2000-08-01	0.362798	-0.357075	-0.058815	0.004464
2000-09-01	0.297947	-0.324210	-0.051955	-0.038038
2000-10-01	0.240770	-0.286047	-0.016087	-0.008087
2000-11-01	0.213957	-0.264856	-0.018124	-0.013499
2000-12-01	0.181259	-0.246410	-0.017353	-0.007850
2001-01-01	0.054047	-0.071570	-0.245809	0.127619
2001-02-01	-0.010137	-0.069271	-0.030730	-0.258469
2001-03-01	-0.052437	-0.085664	0.203484	0.118175
2001-04-01	-0.049686	-0.281643	-0.039284	0.017434
2001-05-01	-0.077099	-0.271355	-0.008516	-0.047857
2001-06-01	-0.153406	-0.243273	-0.035277	0.053732
2001-07-01	-0.197262	-0.197445	-0.085723	-0.030230
2001-08-01	-0.239764	-0.151568	0.013560	-0.029274
2001-09-01	-0.204166	-0.155313	0.072916	-0.006280
2001-10-01	-0.173360	-0.196490	0.045485	0.019186
2001-11-01	-0.148511	-0.217526	0.018701	-0.009329
2001-12-01	-0.143906	-0.230406	0.031805	-0.005131
2002-01-01	-1.025829	-0.046633	-1.053005	0.642258
2002-02-01	-1.394155	-0.025666	-0.284731	-1.043692
2002-03-01	-1.809392	0.009473	0.649527	0.565185
2002-04-01	-1.386730	-0.282536	-0.120369	-0.073136
2002-05-01	-1.589376	-0.178758	-0.095821	0.098363
2002-06-01	-1.728135	-0.095866	-0.171308	-0.004360
2002-07-01	-1.887452	-0.027088	-0.051410	-0.005651
2002-08-01	-2.047429	0.049508	-0.127688	0.118049
2002-09-01	-2.201112	0.098508	-0.155157	-0.024218
2002-10-01	-2.324748	0.184018	-0.018943	0.030967
2002-11-01	-2.382136	0.213494	-0.031327	0.067930
2002-12-01	-2.429688	0.260237	-0.060051	0.043852
2003-01-01	-9.580326	5.754748	-11.759514	7.081295
2003-02-01	-9.253633	6.705680	0.369395	-13.457987
2003-03-01	-8.242845	6.608991	11.981790	7.369183
2003-04-01	-0.872588	-0.383323	0.046304	-0.123123
2003-05-01	-0.797054	-0.321301	0.155461	0.069200
2003-06-01	-0.696659	-0.320174	0.002091	0.028192
2003-07-01	-0.640054	-0.282759	0.045722	-0.047190
2003-08-01	-0.592407	-0.263062	0.084660	0.030881
2003-09-01	-0.521100	-0.280085	0.049534	-0.005749
2003-10-01	-0.435353	-0.302024	0.117356	-0.032752
2003-11-01	-0.348425	-0.342407	0.115509	0.030026
2003-12-01	-0.293149	-0.377977	0.028080	0.012611
2004-01-01	2.899322	-2.671341	5.156565	-3.100540
2004-02-01	3.029033	-3.128496	0.200000	5.717417
2004-03-01	2.865016	-3.142172	-4.936788	-3.005245
2004-04-01	-0.138786	-0.282095	0.050876	-0.026206
2004-05-01	-0.140105	-0.327599	0.051029	0.014811
2004-06-01	-0.187984	-0.347988	-0.046033	0.030090
2004-07-01	-0.206681	-0.323813	-0.007796	-0.063011
2004-08-01	-0.205560	-0.314649	0.078993	0.002811
2004-09-01	-0.152220	-0.359656	0.070576	-0.009756
2004-10-01	-0.090351	-0.356870	0.058272	0.002683
2004-11-01	-0.037161	-0.355413	0.044129	-0.011532
2004-12-01	-0.017396	-0.336893	0.010961	0.012018
2005-01-01	3.604164	-2.736532	5.684794	-3.431025
2005-02-01	3.885723	-3.283691	0.380047	6.214510
2005-03-01	3.872024	-3.439453	-5.215227	-3.284694
2005-04-01	0.543792	-0.486076	0.029628	0.065721
2005-05-01	0.542743	-0.559106	0.002572	-0.095323
2005-06-01	0.515485	-0.598457	0.100640	-0.010288
2005-07-01	0.519730	-0.691777	0.054186	-0.013793
2005-08-01	0.433770	-0.690553	-0.078430	0.038931
2005-09-01	0.336786	-0.620320	-0.111968	-0.066883
2005-10-01	0.205272	-0.551395	-0.041425	-0.014576
2005-11-01	0.098816	-0.511948	-0.075855	0.001485
2005-12-01	0.034717	-0.467616	-0.026264	-0.057108
2006-01-01	-0.417504	-0.342828	-0.475325	0.300208
2006-02-01	-0.350258	-0.322454	0.113204	-0.642824
2006-03-01	-0.316359	-0.330128	0.556474	0.383758
2006-04-01	0.183935	-0.509260	0.039495	-0.108515
2006-05-01	0.136921	-0.450289	-0.000759	0.100932
2006-06-01	0.185695	-0.478087	0.013142	-0.139428
2006-07-01	0.121747	-0.387221	-0.005728	0.122174
2006-08-01	0.117734	-0.334876	-0.123110	-0.077348
2006-09-01	0.061461	-0.206309	-0.011315	-0.006365
2006-10-01	0.069795	-0.185642	0.013855	-0.021645
2006-11-01	0.115951	-0.196526	0.075938	-0.027916
2006-12-01	0.159104	-0.233678	0.062533	0.018964
2007-01-01	0.530466	-0.575977	0.617144	-0.373343
2007-02-01	0.600037	-0.742985	0.184606	0.570694
2007-03-01	0.588142	-0.795357	-0.520033	-0.221855
2007-04-01	0.243659	-0.438375	-0.127461	-0.053395
2007-05-01	0.164372	-0.353246	-0.012912	-0.041556
2007-06-01	0.121456	-0.318219	-0.012810	0.018657
2007-07-01	-0.015802	-0.174566	-0.248840	0.102965
2007-08-01	-0.164738	0.011629	-0.235828	-0.112925
2007-09-01	-0.271559	0.140706	0.017388	-0.024202
2007-10-01	-0.265650	0.084032	0.061262	0.013168
2007-11-01	-0.257079	0.015549	0.022123	0.021167
2007-12-01	-0.256495	-0.037525	0.021779	-0.012696
2008-01-01	-1.301354	0.867914	-1.801511	1.115116
2008-02-01	-1.480482	1.130265	-0.304685	-1.884531
2008-03-01	-1.553795	1.217487	1.567333	0.909190
2008-04-01	-0.765485	0.257956	-0.092623	0.135458
2008-05-01	-0.988905	0.412632	-0.405105	0.092805
2008-06-01	-1.168139	0.599231	-0.177064	-0.163386
2008-07-01	-1.150941	0.608709	0.247606	-0.011561
2008-08-01	-1.176078	0.570973	-0.130446	0.300368
2008-09-01	-1.195576	0.585761	-0.207855	-0.185546
2008-10-01	-1.305590	0.683364	0.084375	0.092125
2008-11-01	-1.228375	0.635208	-0.010104	0.039458
2008-12-01	-1.223083	0.655169	-0.040382	0.052818
2009-01-01	-0.971673	0.288165	0.532185	-0.323155
2009-02-01	-0.956021	0.175211	0.084055	0.628949
2009-03-01	-1.110802	0.339242	-0.836161	-0.043763
2009-04-01	-1.701244	1.052166	-0.661520	0.021071
2009-05-01	-1.989276	1.365073	-0.207502	-0.161714
2009-06-01	-2.197161	1.629712	-0.194796	0.305392
2009-07-01	-2.056359	1.745492	-0.127689	-0.185254
2009-08-01	-2.007109	1.980335	0.029780	0.254935
2009-09-01	-1.790684	1.875957	0.009480	-0.079831
2009-10-01	-1.587019	1.765476	0.292294	0.066719
2009-11-01	-1.369086	1.577560	0.086405	0.188827
2009-12-01	-1.247275	1.543748	-0.115324	0.052954
2010-01-01	-0.660167	1.020188	0.988351	-0.594338
2010-02-01	-0.229835	0.593939	0.665587	0.837830
2010-03-01	0.321177	-0.069733	-0.001512	-0.436355
2010-04-01	0.547839	-0.173943	0.672247	0.023180
2010-05-01	1.128870	-0.641361	0.567042	-0.010357
2010-06-01	1.580165	-1.155725	0.565570	-0.084071
2010-07-01	1.890804	-1.756398	0.572852	-0.055495
2010-08-01	2.315832	-2.530215	0.847910	-0.280438
2010-09-01	2.575561	-2.916681	0.425825	0.303981
2010-10-01	2.574436	-2.931071	-0.378253	-0.077632
2010-11-01	2.313108	-2.600376	-0.147320	-0.284716
2010-12-01	2.148174	-2.501378	0.168197	-0.107717
2011-01-01	0.179457	-1.520359	-2.736869	1.640941
2011-02-01	-1.120579	-0.665487	-1.720866	-2.265414
2011-03-01	-2.405394	0.161359	0.988509	0.747930
2011-04-01	-1.720415	-0.417786	0.045349	-0.137263
2011-05-01	-1.815194	-0.462821	0.120494	0.134656
2011-06-01	-1.850346	-0.369680	-0.204573	0.094537
2011-07-01	-2.112631	-0.058593	-0.394528	0.073299
2011-08-01	-2.438554	0.326509	-0.410077	0.018738
2011-09-01	-2.678961	0.505997	-0.116610	-0.081257
2011-10-01	-2.735497	0.448506	0.181559	0.027902
2011-11-01	-2.659042	0.362202	0.087312	0.143043
2011-12-01	-2.648573	0.418339	-0.140127	0.099776
2012-01-01	-0.022370	-0.394463	3.421573	-2.108105
2012-02-01	0.835009	-0.478107	0.757901	3.605304
2012-03-01	1.554695	-0.443298	-2.779148	-1.641178
2012-04-01	-0.266451	0.872039	0.015649	0.010913
2012-05-01	-0.355637	0.785889	-0.088760	0.103405
2012-06-01	-0.427093	0.826883	-0.176054	0.004602
2012-07-01	-2.149172	2.086056	-2.741666	1.594500
2012-08-01	-4.080419	3.648813	-3.080094	-1.148495
2012-09-01	-5.148825	4.626221	0.739240	-0.690651
2012-10-01	-4.199091	3.769859	1.686106	0.520541
2012-11-01	-3.030816	2.496609	0.716540	0.327919
2012-12-01	-2.458567	1.792281	0.412189	0.056623
2013-01-01	1.516388	2.807720	2.963647	-1.373435
2013-02-01	4.137975	4.554948	0.453094	2.886793
2013-03-01	6.505037	6.553824	-2.506888	-1.156966
2013-04-01	5.195738	7.682674	-0.504751	0.157889
2013-05-01	5.244134	7.546848	-0.385381	-0.026054
2013-06-01	5.347991	7.223707	-0.073358	0.039000
2013-07-01	7.245284	5.678285	2.561618	-1.446594
2013-08-01	9.355206	3.880644	2.729571	1.303936
2013-09-01	10.472894	2.717148	-1.150607	0.766051
2013-10-01	9.507271	3.425145	-2.077399	-0.420764
2013-11-01	8.364243	4.544370	-1.094032	-0.261282
2013-12-01	7.496299	4.674825	-0.743856	0.011891
2014-01-01	5.076948	2.615165	-0.995031	0.086240
2014-02-01	2.378126	0.758379	-1.074815	-0.051923
2014-03-01	0.173764	-0.691771	-0.402214	-0.314836
2014-04-01	-0.079964	-0.385769	0.038678	0.029204
2014-05-01	-0.065332	-0.387098	-0.001807	-0.023732
2014-06-01	-0.022940	-0.383934	0.086778	-0.046475
2014-07-01	-0.023755	-0.391253	0.019284	0.065659
2014-08-01	-0.071051	-0.350183	-0.121416	-0.002659
2014-09-01	-0.144190	-0.298577	-0.016120	-0.071547
2014-10-01	-0.176121	-0.273443	0.040805	0.028784
2014-11-01	-0.198429	-0.281934	-0.038428	0.008776
2014-12-01	-0.193717	-0.300884	0.060000	-0.074367
2015-01-01	0.045833	-0.602767	0.528474	-0.217217
2015-02-01	-0.018259	-0.693161	-0.079957	0.535373
2015-03-01	-0.141282	-0.637031	-0.521689	-0.309918
2015-04-01	-0.384952	-0.279525	0.078705	-0.053191
2015-05-01	-0.323200	-0.246737	0.066852	0.057169
2015-06-01	-0.256673	-0.275834	0.032063	-0.041470
