_date_,fexp1f_h,fagr1,fagr2,fagr3,fagr4,fagr5
1995-01-01,NA,NA,NA,NA,NA,NA
1995-02-01,NA,NA,NA,NA,NA,NA
1995-03-01,NA,NA,NA,NA,NA,NA
1995-04-01,NA,NA,NA,NA,NA,NA
1995-05-01,NA,NA,NA,NA,NA,NA
1995-06-01,NA,NA,NA,NA,NA,NA
1995-07-01,NA,NA,NA,NA,NA,NA
1995-08-01,NA,NA,NA,NA,NA,NA
1995-09-01,NA,NA,NA,NA,NA,NA
1995-10-01,NA,NA,NA,NA,NA,NA
1995-11-01,NA,NA,NA,NA,NA,NA
1995-12-01,NA,NA,NA,NA,NA,NA
1996-01-01,NA,NA,NA,NA,NA,NA
1996-02-01,NA,NA,NA,NA,NA,NA
1996-03-01,NA,NA,NA,NA,NA,NA
1996-04-01,NA,NA,NA,NA,NA,NA
1996-05-01,NA,NA,NA,NA,NA,NA
1996-06-01,NA,NA,NA,NA,NA,NA
1996-07-01,NA,NA,NA,NA,NA,NA
1996-08-01,NA,NA,NA,NA,NA,NA
1996-09-01,NA,NA,NA,NA,NA,NA
1996-10-01,NA,NA,NA,NA,NA,NA
1996-11-01,NA,NA,NA,NA,NA,NA
1996-12-01,NA,NA,NA,NA,NA,NA
1997-01-01,NA,NA,NA,NA,NA,NA
1997-02-01,NA,NA,NA,NA,NA,NA
1997-03-01,NA,NA,NA,NA,NA,NA
1997-04-01,NA,NA,NA,NA,NA,NA
1997-05-01,NA,NA,NA,NA,NA,NA
1997-06-01,NA,NA,NA,NA,NA,NA
1997-07-01,NA,NA,NA,NA,NA,NA
1997-08-01,NA,NA,NA,NA,NA,NA
1997-09-01,NA,NA,NA,NA,NA,NA
1997-10-01,NA,NA,NA,NA,NA,NA
1997-11-01,NA,NA,NA,NA,NA,NA
1997-12-01,NA,NA,NA,NA,NA,NA
1998-01-01,NA,NA,NA,NA,NA,NA
1998-02-01,NA,NA,NA,NA,NA,NA
1998-03-01,NA,NA,NA,NA,NA,NA
1998-04-01,NA,NA,NA,NA,NA,NA
1998-05-01,NA,NA,NA,NA,NA,NA
1998-06-01,NA,NA,NA,NA,NA,NA
1998-07-01,NA,NA,NA,NA,NA,NA
1998-08-01,NA,NA,NA,NA,NA,NA
1998-09-01,NA,NA,NA,NA,NA,NA
1998-10-01,NA,NA,NA,NA,NA,NA
1998-11-01,NA,NA,NA,NA,NA,NA
1998-12-01,NA,NA,NA,NA,NA,NA
1999-01-01,NA,NA,NA,NA,NA,NA
1999-02-01,NA,NA,NA,NA,NA,NA
1999-03-01,NA,NA,NA,NA,NA,NA
1999-04-01,NA,NA,NA,NA,NA,NA
1999-05-01,NA,NA,NA,NA,NA,NA
1999-06-01,NA,NA,NA,NA,NA,NA
1999-07-01,NA,NA,NA,NA,NA,NA
1999-08-01,NA,NA,NA,NA,NA,NA
1999-09-01,NA,NA,NA,NA,NA,NA
1999-10-01,NA,NA,NA,NA,NA,NA
1999-11-01,NA,NA,NA,NA,NA,NA
1999-12-01,NA,NA,NA,NA,NA,NA
2000-01-01,NA,NA,NA,NA,NA,NA
2000-02-01,NA,NA,NA,NA,NA,NA
2000-03-01,NA,NA,NA,NA,NA,NA
2000-04-01,NA,NA,NA,NA,NA,NA
2000-05-01,NA,NA,NA,NA,NA,NA
2000-06-01,NA,NA,NA,NA,NA,NA
2000-07-01,NA,NA,NA,NA,NA,NA
2000-08-01,NA,NA,NA,NA,NA,NA
2000-09-01,NA,NA,NA,NA,NA,NA
2000-10-01,NA,NA,NA,NA,NA,NA
2000-11-01,NA,NA,NA,NA,NA,NA
2000-12-01,NA,NA,NA,NA,NA,NA
2001-01-01,NA,NA,NA,NA,NA,NA
2001-02-01,NA,NA,NA,NA,NA,NA
2001-03-01,NA,NA,NA,NA,NA,NA
2001-04-01,NA,NA,NA,NA,NA,NA
2001-05-01,NA,NA,NA,NA,NA,NA
2001-06-01,NA,NA,NA,NA,NA,NA
2001-07-01,NA,NA,NA,NA,NA,NA
2001-08-01,NA,NA,NA,NA,NA,NA
2001-09-01,NA,NA,NA,NA,NA,NA
2001-10-01,NA,NA,NA,NA,NA,NA
2001-11-01,NA,NA,NA,NA,NA,NA
2001-12-01,NA,NA,NA,NA,NA,NA
2002-01-01,NA,NA,NA,NA,NA,NA
2002-02-01,NA,NA,NA,NA,NA,NA
2002-03-01,NA,NA,NA,NA,NA,NA
2002-04-01,NA,NA,NA,NA,NA,NA
2002-05-01,NA,NA,NA,NA,NA,NA
2002-06-01,NA,NA,NA,NA,NA,NA
2002-07-01,NA,NA,NA,NA,NA,NA
2002-08-01,NA,NA,NA,NA,NA,NA
2002-09-01,NA,NA,NA,NA,NA,NA
2002-10-01,NA,NA,NA,NA,NA,NA
2002-11-01,NA,NA,NA,NA,NA,NA
2002-12-01,NA,NA,NA,NA,NA,NA
2003-01-01,NA,NA,NA,NA,NA,NA
2003-02-01,NA,NA,NA,NA,NA,NA
2003-03-01,NA,NA,NA,NA,NA,NA
2003-04-01,NA,NA,NA,NA,NA,NA
2003-05-01,NA,NA,NA,NA,NA,NA
2003-06-01,NA,NA,NA,NA,NA,NA
2003-07-01,NA,NA,NA,NA,NA,NA
2003-08-01,NA,NA,NA,NA,NA,NA
2003-09-01,NA,NA,NA,NA,NA,NA
2003-10-01,NA,NA,NA,NA,NA,NA
2003-11-01,NA,NA,NA,NA,NA,NA
2003-12-01,NA,NA,NA,NA,NA,NA
2004-01-01,NA,NA,NA,NA,NA,NA
2004-02-01,NA,NA,NA,NA,NA,NA
2004-03-01,NA,NA,NA,NA,NA,NA
2004-04-01,NA,NA,NA,NA,NA,NA
2004-05-01,NA,NA,NA,NA,NA,NA
2004-06-01,NA,NA,NA,NA,NA,NA
2004-07-01,NA,NA,NA,NA,NA,NA
2004-08-01,NA,NA,NA,NA,NA,NA
2004-09-01,NA,NA,NA,NA,NA,NA
2004-10-01,NA,NA,NA,NA,NA,NA
2004-11-01,NA,NA,NA,NA,NA,NA
2004-12-01,NA,NA,NA,NA,NA,NA
2005-01-01,NA,NA,NA,NA,NA,NA
2005-02-01,NA,NA,NA,NA,NA,NA
2005-03-01,-0.11288342121154518,NA,NA,NA,NA,NA
2005-04-01,-0.12732138741715052,NA,NA,NA,NA,NA
2005-05-01,-0.15499781590826856,NA,NA,NA,NA,NA
2005-06-01,-0.21087027082847356,NA,NA,NA,NA,NA
2005-07-01,-0.29110030128308312,NA,NA,NA,NA,NA
2005-08-01,-0.30921862822076408,NA,NA,NA,NA,NA
2005-09-01,-0.26556010297537304,NA,NA,NA,NA,NA
2005-10-01,-0.22019948848643616,NA,NA,NA,NA,NA
2005-11-01,-0.18317697566057268,NA,NA,NA,NA,NA
2005-12-01,-0.13504563292098886,NA,NA,NA,NA,NA
2006-01-01,0.017140752185992366,NA,NA,NA,NA,NA
2006-02-01,0.20599552237596304,NA,NA,NA,NA,NA
2006-03-01,0.39491617953075088,-0.96723212172453632,1.1164123350444016,1.255153711313323,0.500165033581336,2.1152807498659096
2006-04-01,0.49621467541179312,-2.0601403405185588,1.254570352220561,0.89013386032741424,0.90057678137836544,2.3982199844611228
2006-05-01,0.56401848723005264,-2.1429641084948196,1.3715678951986812,0.75044076305123856,1.0536115341184998,1.504806636995099
2006-06-01,0.6049022958497036,-1.2880246775490832,1.0407450155501224,0.56279424856851376,0.97393945929827712,0.64428209322708152
2006-07-01,0.60540893641882384,-0.78435434246052144,0.99747107332983776,0.11759507280674838,0.84614160625060736,0.16426092499857956
2006-08-01,0.52831352745178016,-0.3081915411756382,0.60011863699285008,-0.21621284454031868,0.29990580418302056,0.65407310188710224
2006-09-01,0.44765442432528,-0.11707255236205094,0.63329738801283488,-0.37928616605216128,0.028851697670962352,0.58555467501976392
2006-10-01,0.4511625949316172,0.38754909733123952,0.7345116907116808,-0.3960506012174328,-0.26148685322611576,0.22836758048357388
2006-11-01,0.46797216475409824,0.69248305101011168,0.8691357958952992,-0.43251464492331264,-0.48432757334771336,0.57873077811516512
2006-12-01,0.52684648862427544,0.30110768258379228,1.2436513948757756,-0.72224421340940256,-0.40408448269626704,1.4780270611571308
2007-01-01,0.54471613096804096,-0.36080398246397048,1.5868005612286784,-0.719351407370732,-0.15658597269547552,1.7576403097052324
2007-02-01,0.50883325647141944,-0.3997676932078268,2.1432885028907576,-0.032849054993201344,-0.27246519201967944,1.4073635491522624
2007-03-01,0.36480440146593904,0.071737440942614664,3.0668399060066368,0.62726577785935,-0.1660708809507691,0.84620598299390352
2007-04-01,0.1921596110574448,1.4055349254170284,3.811371387594216,1.7789858971149008,-0.80390128648315888,1.1378508317901286
