_date_	fexp1f	fexp2f	fexp3f	fexp4f	fexp5f
1995-01-01	NA	NA	NA	NA	NA
1995-02-01	NA	NA	NA	NA	NA
1995-03-01	NA	NA	NA	NA	NA
1995-04-01	NA	NA	NA	NA	NA
1995-05-01	NA	NA	NA	NA	NA
1995-06-01	NA	NA	NA	NA	NA
1995-07-01	NA	NA	NA	NA	NA
1995-08-01	NA	NA	NA	NA	NA
1995-09-01	NA	NA	NA	NA	NA
1995-10-01	NA	NA	NA	NA	NA
1995-11-01	NA	NA	NA	NA	NA
1995-12-01	NA	NA	NA	NA	NA
1996-01-01	NA	NA	NA	NA	NA
1996-02-01	NA	NA	NA	NA	NA
1996-03-01	NA	NA	NA	NA	NA
1996-04-01	NA	NA	NA	NA	NA
1996-05-01	NA	NA	NA	NA	NA
1996-06-01	NA	NA	NA	NA	NA
1996-07-01	NA	NA	NA	NA	NA
1996-08-01	NA	NA	NA	NA	NA
1996-09-01	NA	NA	NA	NA	NA
1996-10-01	NA	NA	NA	NA	NA
1996-11-01	NA	NA	NA	NA	NA
1996-12-01	NA	NA	NA	NA	NA
1997-01-01	NA	NA	NA	NA	NA
1997-02-01	NA	NA	NA	NA	NA
1997-03-01	NA	NA	NA	NA	NA
1997-04-01	NA	NA	NA	NA	NA
1997-05-01	NA	NA	NA	NA	NA
1997-06-01	NA	NA	NA	NA	NA
1997-07-01	NA	NA	NA	NA	NA
1997-08-01	NA	NA	NA	NA	NA
1997-09-01	NA	NA	NA	NA	NA
1997-10-01	NA	NA	NA	NA	NA
1997-11-01	NA	NA	NA	NA	NA
1997-12-01	NA	NA	NA	NA	NA
1998-01-01	NA	NA	NA	NA	NA
1998-02-01	NA	NA	NA	NA	NA
1998-03-01	NA	NA	NA	NA	NA
1998-04-01	NA	NA	NA	NA	NA
1998-05-01	NA	NA	NA	NA	NA
1998-06-01	NA	NA	NA	NA	NA
1998-07-01	NA	NA	NA	NA	NA
1998-08-01	NA	NA	NA	NA	NA
1998-09-01	NA	NA	NA	NA	NA
1998-10-01	NA	NA	NA	NA	NA
1998-11-01	NA	NA	NA	NA	NA
1998-12-01	NA	NA	NA	NA	NA
1999-01-01	NA	NA	NA	NA	NA
1999-02-01	NA	NA	NA	NA	NA
1999-03-01	NA	NA	NA	NA	NA
1999-04-01	NA	NA	NA	NA	NA
1999-05-01	NA	NA	NA	NA	NA
1999-06-01	NA	NA	NA	NA	NA
1999-07-01	NA	NA	NA	NA	NA
1999-08-01	NA	NA	NA	NA	NA
1999-09-01	NA	NA	NA	NA	NA
1999-10-01	NA	NA	NA	NA	NA
1999-11-01	NA	NA	NA	NA	NA
1999-12-01	NA	NA	NA	NA	NA
2000-01-01	NA	NA	NA	NA	NA
2000-02-01	NA	NA	NA	NA	NA
2000-03-01	NA	NA	NA	NA	NA
2000-04-01	NA	NA	NA	NA	NA
2000-05-01	NA	NA	NA	NA	NA
2000-06-01	NA	NA	NA	NA	NA
2000-07-01	NA	NA	NA	NA	NA
2000-08-01	NA	NA	NA	NA	NA
2000-09-01	NA	NA	NA	NA	NA
2000-10-01	NA	NA	NA	NA	NA
2000-11-01	NA	NA	NA	NA	NA
2000-12-01	NA	NA	NA	NA	NA
2001-01-01	NA	NA	NA	NA	NA
2001-02-01	NA	NA	NA	NA	NA
2001-03-01	NA	NA	NA	NA	NA
2001-04-01	NA	NA	NA	NA	NA
2001-05-01	NA	NA	NA	NA	NA
2001-06-01	NA	NA	NA	NA	NA
2001-07-01	NA	NA	NA	NA	NA
2001-08-01	NA	NA	NA	NA	NA
2001-09-01	NA	NA	NA	NA	NA
2001-10-01	NA	NA	NA	NA	NA
2001-11-01	NA	NA	NA	NA	NA
2001-12-01	NA	NA	NA	NA	NA
2002-01-01	NA	NA	NA	NA	NA
2002-02-01	NA	NA	NA	NA	NA
2002-03-01	NA	NA	NA	NA	NA
2002-04-01	NA	NA	NA	NA	NA
2002-05-01	NA	NA	NA	NA	NA
2002-06-01	NA	NA	NA	NA	NA
2002-07-01	NA	NA	NA	NA	NA
2002-08-01	NA	NA	NA	NA	NA
2002-09-01	NA	NA	NA	NA	NA
2002-10-01	NA	NA	NA	NA	NA
2002-11-01	NA	NA	NA	NA	NA
2002-12-01	NA	NA	NA	NA	NA
2003-01-01	NA	NA	NA	NA	NA
2003-02-01	NA	NA	NA	NA	NA
2003-03-01	NA	NA	NA	NA	NA
2003-04-01	NA	NA	NA	NA	NA
2003-05-01	NA	NA	NA	NA	NA
2003-06-01	NA	NA	NA	NA	NA
2003-07-01	NA	NA	NA	NA	NA
2003-08-01	NA	NA	NA	NA	NA
2003-09-01	NA	NA	NA	NA	NA
2003-10-01	NA	NA	NA	NA	NA
2003-11-01	NA	NA	NA	NA	NA
2003-12-01	NA	NA	NA	NA	NA
2004-01-01	NA	NA	NA	NA	NA
2004-02-01	NA	NA	NA	NA	NA
2004-03-01	NA	NA	NA	NA	NA
2004-04-01	NA	NA	NA	NA	NA
2004-05-01	NA	NA	NA	NA	NA
2004-06-01	NA	NA	NA	NA	NA
2004-07-01	NA	NA	NA	NA	NA
2004-08-01	NA	NA	NA	NA	NA
2004-09-01	NA	NA	NA	NA	NA
2004-10-01	NA	NA	NA	NA	NA
2004-11-01	NA	NA	NA	NA	NA
2004-12-01	NA	NA	NA	NA	NA
2005-01-01	NA	NA	NA	NA	NA
2005-02-01	NA	NA	NA	NA	NA
2005-03-01	-0.12612188349705788	-0.38512230512217352	-0.35831464125715084	-0.13143207474490474	-0.44904954288810552
2005-04-01	-0.12904048927521206	0.033284518057597696	-0.061618068070665056	0.5410431254353132	-0.38139548270283328
2005-05-01	-0.13620180087001204	-0.031769820356475396	-0.080765005443509632	-0.083493624929082656	-0.60669256467523992
2005-06-01	-0.12823944267182274	-0.050415849202588224	0.3516798575676836	-0.35628510957016456	-0.68902608330353056
2005-07-01	-0.37790443166827288	-0.43191979161270128	-0.27658118483274048	-0.5632890297695988	-1.1009710635174224
2005-08-01	-0.36895853982643384	-0.27275382834239808	-0.216582234117919	0.20476292219936344	-1.3350013408082078
2005-09-01	-0.215525530942466	0.21765795579662548	-0.27002820081018296	0.10922976646024344	-1.4969732340065038
2005-10-01	-0.19071236600302328	-0.30412437481009256	0.045901492328141768	-0.9674240186668792	-1.0837368339601158
2005-11-01	-0.10967769478368936	-0.23420560905757908	0.0080266607284503472	0.13625723864332496	-1.0047074660542234
2005-12-01	-0.29537850265907384	-0.083895835889413856	-0.39808959174726488	-0.18556613575685312	-1.0115922985407408
