@date,"@dlog(con1,0,12)","@dlog(con2,0,12)","@dlog(con3,0,12)","@dlog(con5,0,12)","@dlog(con6,0,12)","@dlog(con7,0,12)","@dlog(con8,0,12)",con9,con10,con11,"@dlog(con12,0,12)","@dlog(con13,0,12)",con14,"@dlog(con15,0,12)","@dlog(con16,0,12)","@dlog(con1(-1),0,12)","@dlog(con2(-1),0,12)","@dlog(con3(-1),0,12)","@dlog(con5(-1),0,12)","@dlog(con6(-1),0,12)","@dlog(con7(-1),0,12)","@dlog(con8(-1),0,12)",con9(-1),con10(-1),con11(-1),"@dlog(con12(-1),0,12)","@dlog(con13(-1),0,12)",con14(-1),"@dlog(con15(-1),0,12)","@dlog(con16(-1),0,12)","@dlog(con1(-2),0,12)","@dlog(con2(-2),0,12)","@dlog(con3(-2),0,12)","@dlog(con5(-2),0,12)","@dlog(con6(-2),0,12)","@dlog(con7(-2),0,12)","@dlog(con8(-2),0,12)",con9(-2),con10(-2),con11(-2),"@dlog(con12(-2),0,12)","@dlog(con13(-2),0,12)",con14(-2),"@dlog(con15(-2),0,12)","@dlog(con16(-2),0,12)"
1995-01-01,,,,,,,,6.80075,-8.24681,-0.41537,,,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-01,,,,,,,,-7.00705,-18.91384,-24.13688,,,2.2,,,,,,,,,,6.80075,-8.24681,-0.41537,,,-4.8,,,,,,,,,,,,,,,,,
1995-03-01,,,,,,,,3.67588,-15.80087,-5.95213,,,-7.8,,,,,,,,,,-7.00705,-18.91384,-24.13688,,,2.2,,,,,,,,,,6.80075,-8.24681,-0.41537,,,-4.8,,
1995-04-01,,,,,,,,10.01319,-9.07733,47.58513,,,1.2,,,,,,,,,,3.67588,-15.80087,-5.95213,,,-7.8,,,,,,,,,,-7.00705,-18.91384,-24.13688,,,2.2,,
1995-05-01,,,,,,,,3.41468,-12.93742,4.93685,,,1.0,,,,,,,,,,10.01319,-9.07733,47.58513,,,1.2,,,,,,,,,,3.67588,-15.80087,-5.95213,,,-7.8,,
1995-06-01,,,,,,,,-1.4636,-0.97096,35.91291,,,-2.3,,,,,,,,,,3.41468,-12.93742,4.93685,,,1.0,,,,,,,,,,10.01319,-9.07733,47.58513,,,1.2,,
1995-07-01,,,,,,,,-7.74855,-17.06374,32.22285,,,-7.1,,,,,,,,,,-1.4636,-0.97096,35.91291,,,-2.3,,,,,,,,,,3.41468,-12.93742,4.93685,,,1.0,,
1995-08-01,,,,,,,,-14.3429,-22.30191,-20.90559,,,-6.6,,,,,,,,,,-7.74855,-17.06374,32.22285,,,-7.1,,,,,,,,,,-1.4636,-0.97096,35.91291,,,-2.3,,
1995-09-01,,,,,,,,-8.07577,-10.9664,-16.93939,,,0.2,,,,,,,,,,-14.3429,-22.30191,-20.90559,,,-6.6,,,,,,,,,,-7.74855,-17.06374,32.22285,,,-7.1,,
1995-10-01,,,,,,,,-7.61158,-11.73771,-13.10426,,,-3.8,,,,,,,,,,-8.07577,-10.9664,-16.93939,,,0.2,,,,,,,,,,-14.3429,-22.30191,-20.90559,,,-6.6,,
1995-11-01,,,,,,,,-14.688,-11.47633,-12.1579,,,-2.5,,,,,,,,,,-7.61158,-11.73771,-13.10426,,,-3.8,,,,,,,,,,-8.07577,-10.9664,-16.93939,,,0.2,,
1995-12-01,,,,,,,,-18.59293,-11.39658,10.62945,,,-15.3,,,,,,,,,,-14.688,-11.47633,-12.1579,,,-2.5,,,,,,,,,,-7.61158,-11.73771,-13.10426,,,-3.8,,
1996-01-01,0.0125260299696483,0.026060256399031,-0.0031892503824906,,-0.016820551421496,-0.0082027756466693,,-20.33043,0.89494,-29.1757,0.0454150764447982,0.0338453196922676,-14.8,,,,,,,,,,-18.59293,-11.39658,10.62945,,,-15.3,,,,,,,,,,-14.688,-11.47633,-12.1579,,,-2.5,,
1996-02-01,0.011472110865494,-0.0953278610816212,0.1620696506674974,,-0.0725109276953288,-0.0143530354831167,,-30.70033,-30.93296,-37.8483,0.0454150764447982,0.0281457056184324,-20.3,,,0.0125260299696483,0.026060256399031,-0.0031892503824906,,-0.016820551421496,-0.0082027756466693,,-20.33043,0.89494,-29.1757,0.0454150764447982,0.0338453196922676,-14.8,,,,,,,,,,-18.59293,-11.39658,10.62945,,,-15.3,,
1996-03-01,-0.0135744895257081,-0.197524201204386,0.1526336432184667,,-0.1782929062136844,-0.0254284363719783,,-30.239,-19.41845,-15.76539,0.0454150764447982,0.0225099310893996,-31.4,,,0.011472110865494,-0.0953278610816212,0.1620696506674974,,-0.0725109276953288,-0.0143530354831167,,-30.70033,-30.93296,-37.8483,0.0454150764447982,0.0281457056184324,-20.3,,,0.0125260299696483,0.026060256399031,-0.0031892503824906,,-0.016820551421496,-0.0082027756466693,,-20.33043,0.89494,-29.1757,0.0454150764447982,0.0338453196922676,-14.8,,
1996-04-01,0.0025345260306979,0.2361532441117351,0.2259585230384306,,0.0483703595273832,-0.0166300535588677,,-12.59515,-15.20002,-16.12745,0.0450750156845014,0.0172798993444098,-31.8,,,-0.0135744895257081,-0.197524201204386,0.1526336432184667,,-0.1782929062136844,-0.0254284363719783,,-30.239,-19.41845,-15.76539,0.0454150764447982,0.0225099310893996,-31.4,,,0.011472110865494,-0.0953278610816212,0.1620696506674974,,-0.0725109276953288,-0.0143530354831167,,-30.70033,-30.93296,-37.8483,0.0454150764447982,0.0281457056184324,-20.3,,
1996-05-01,-0.0116804567847967,-0.06412347751899,0.1521006303934573,,-0.0727615419620173,-0.0153105675152644,,-4.94916,-17.29171,-12.57198,0.0446215817051554,0.0134719750763467,-16.4,,,0.0025345260306979,0.2361532441117351,0.2259585230384306,,0.0483703595273832,-0.0166300535588677,,-12.59515,-15.20002,-16.12745,0.0450750156845014,0.0172798993444098,-31.8,,,-0.0135744895257081,-0.197524201204386,0.1526336432184667,,-0.1782929062136844,-0.0254284363719783,,-30.239,-19.41845,-15.76539,0.0454150764447982,0.0225099310893996,-31.4,,
1996-06-01,0.0102137608428005,-0.3500930925996037,0.231042921866237,,-0.1000329858526623,-0.0035808696269121,,-12.55353,-16.33652,31.24756,0.0444169654381143,0.010086989246334,-7.6,,,-0.0116804567847967,-0.06412347751899,0.1521006303934573,,-0.0727615419620173,-0.0153105675152644,,-4.94916,-17.29171,-12.57198,0.0446215817051554,0.0134719750763467,-16.4,,,0.0025345260306979,0.2361532441117351,0.2259585230384306,,0.0483703595273832,-0.0166300535588677,,-12.59515,-15.20002,-16.12745,0.0450750156845014,0.0172798993444098,-31.8,,
1996-07-01,0.0223735347557259,0.0369295609528652,0.2401595324127026,,0.050861877839976,0.0109578283404045,,-25.65467,-29.47742,5.94766,0.044550927756628,0.0079491590261744,-15.3,,,0.0102137608428005,-0.3500930925996037,0.231042921866237,,-0.1000329858526623,-0.0035808696269121,,-12.55353,-16.33652,31.24756,0.0444169654381143,0.010086989246334,-7.6,,,-0.0116804567847967,-0.06412347751899,0.1521006303934573,,-0.0727615419620173,-0.0153105675152644,,-4.94916,-17.29171,-12.57198,0.0446215817051554,0.0134719750763467,-16.4,,
1996-08-01,0.0351209702574974,-0.1202243694524956,0.1591719006619154,,0.0002227998340433,0.0085039212409112,,-8.99487,8.73181,20.50206,0.0442708549358643,0.0105888025473595,-24.7,,,0.0223735347557259,0.0369295609528652,0.2401595324127026,,0.050861877839976,0.0109578283404045,,-25.65467,-29.47742,5.94766,0.044550927756628,0.0079491590261744,-15.3,,,0.0102137608428005,-0.3500930925996037,0.231042921866237,,-0.1000329858526623,-0.0035808696269121,,-12.55353,-16.33652,31.24756,0.0444169654381143,0.010086989246334,-7.6,,
1996-09-01,0.0268337312424664,-0.0711780138985922,0.2336122255137649,,0.0666186674882309,0.0176006190445781,,-7.9152,5.78254,9.89207,0.0442708549358643,0.0093106784881893,-8.6,,,0.0351209702574974,-0.1202243694524956,0.1591719006619154,,0.0002227998340433,0.0085039212409112,,-8.99487,8.73181,20.50206,0.0442708549358643,0.0105888025473595,-24.7,,,0.0223735347557259,0.0369295609528652,0.2401595324127026,,0.050861877839976,0.0109578283404045,,-25.65467,-29.47742,5.94766,0.044550927756628,0.0079491590261744,-15.3,,
