@date,"@dlog(ind1,0,12)","@dlog(ind2,0,12)","@dlog(ind3,0,12)","@dlog(ind4,0,12)","@dlog(ind5,0,12)","@dlog(ind6,0,12)",ind7,ind8,ind9,"@dlog(ind10,0,12)","@dlog(ind11,1,12)","@dlog(ind12,0,12)","@dlog(ind13,0,12)","@dlog(ind1(-1),0,12)","@dlog(ind2(-1),0,12)","@dlog(ind3(-1),0,12)","@dlog(ind4(-1),0,12)","@dlog(ind5(-1),0,12)","@dlog(ind6(-1),0,12)",ind7(-1),ind8(-1),ind9(-1),"@dlog(ind10(-1),0,12)","@dlog(ind11(-1),1,12)","@dlog(ind12(-1),0,12)","@dlog(ind13(-1),0,12)","@dlog(ind1(-2),0,12)","@dlog(ind2(-2),0,12)","@dlog(ind3(-2),0,12)","@dlog(ind4(-2),0,12)","@dlog(ind5(-2),0,12)","@dlog(ind6(-2),0,12)",ind7(-2),ind8(-2),ind9(-2),"@dlog(ind10(-2),0,12)","@dlog(ind11(-2),1,12)","@dlog(ind12(-2),0,12)","@dlog(ind13(-2),0,12)"
1995-01-01,,,,,,,0.062516133333333,1.2,17.6667983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-01,,,,,,,0.87408536,3.8,13.9564644,,,,,,,,,,,0.062516133333333,1.2,17.6667983,,,,,,,,,,,,,,,,,
1995-03-01,,,,,,,1.31214613333333,4.4,18.3349527,,,,,,,,,,,0.87408536,3.8,13.9564644,,,,,,,,,,,0.062516133333333,1.2,17.6667983,,,,
1995-04-01,,,,,,,2.2370961633333306,5.6,13.2610696,,,,,,,,,,,1.31214613333333,4.4,18.3349527,,,,,,,,,,,0.87408536,3.8,13.9564644,,,,
1995-05-01,,,,,,,-4.62974644,-5.6,9.47957273,,,,,,,,,,,2.2370961633333306,5.6,13.2610696,,,,,,,,,,,1.31214613333333,4.4,18.3349527,,,,
1995-06-01,,,,,,,-9.034555913333328,-10.7,10.4448095,,,,,,,,,,,-4.62974644,-5.6,9.47957273,,,,,,,,,,,2.2370961633333306,5.6,13.2610696,,,,
1995-07-01,,,,,,,-3.9556083166666705,-6.4,10.7896092,,,,,,,,,,,-9.034555913333328,-10.7,10.4448095,,,,,,,,,,,-4.62974644,-5.6,9.47957273,,,,
1995-08-01,,,,,,,-7.51213736,-13.3,3.11787307,,,,,,,,,,,-3.9556083166666705,-6.4,10.7896092,,,,,,,,,,,-9.034555913333328,-10.7,10.4448095,,,,
1995-09-01,,,,,,,-9.21852074,-15.7,2.23576776,,,,,,,,,,,-7.51213736,-13.3,3.11787307,,,,,,,,,,,-3.9556083166666705,-6.4,10.7896092,,,,
1995-10-01,,,,,,,-12.1006713866667,-14.7,1.31139108,,,,,,,,,,,-9.21852074,-15.7,2.23576776,,,,,,,,,,,-7.51213736,-13.3,3.11787307,,,,
1995-11-01,,,,,,,-11.28565512,-15.7,-2.38070871,,,,,,,,,,,-12.1006713866667,-14.7,1.31139108,,,,,,,,,,,-9.21852074,-15.7,2.23576776,,,,
