,FIMPU1F_H,FIMPU2F_H,FIMPU3F_H,FIMPU4F_H
2007-01-01,0.444635,0.531109,-0.261601,0.027796
2007-02-01,0.53366,0.665876,-0.094557,-0.07687
2007-03-01,0.493037,0.669047,0.130502,-0.001278
2007-04-01,0.344191,0.539104,0.156457,0.032538
2007-05-01,0.203651,0.40084,0.11572,0.025673
2007-06-01,0.087412,0.278316,0.111709,8.3e-05
2007-07-01,-0.027809,0.148002,0.145031,-0.006396
2007-08-01,-0.131252,0.026269,0.117396,0.025333
2007-09-01,-0.200146,-0.043947,0.034322,0.017797
2007-10-01,-0.245209,-0.057606,0.019762,-0.018884
2007-11-01,-0.348572,-0.106432,0.145956,-0.068185
2007-12-01,-0.612806,-0.308569,0.404121,-0.107868
2008-01-01,-1.048987,-0.691283,0.617393,-0.068672
2008-02-01,-1.311883,-0.935745,0.18301,0.239224
2008-03-01,-1.308628,-0.899756,-0.317674,-0.040802
2008-04-01,-1.114954,-0.635638,-0.181628,-0.120063
2008-05-01,-1.05176,-0.513443,0.044519,-0.078261
2008-06-01,-1.090475,-0.525541,0.08839,-0.010494
2008-07-01,-1.139675,-0.563494,0.038193,-0.026403
2008-08-01,-1.185599,-0.592551,0.07081,-0.061753
2008-09-01,-1.225749,-0.623177,0.077326,-0.01434
2008-10-01,-1.24811,-0.644262,0.008458,-0.020579
2008-11-01,-1.210491,-0.607276,-0.054544,-0.016998
2008-12-01,-1.128184,-0.502796,-0.123266,-0.011673
2009-01-01,-1.034362,-0.349327,-0.144642,-0.035137
2009-02-01,-1.0571,-0.317748,0.098038,-0.159069
2009-03-01,-1.261782,-0.517778,0.433942,-0.096859
2009-04-01,-1.612714,-0.916597,0.510146,-0.031774
2009-05-01,-1.923222,-1.302847,0.375943,-0.006457
2009-06-01,-2.095161,-1.600743,0.232,-0.052853
2009-07-01,-2.096443,-1.796723,0.110544,-0.034731
2009-08-01,-1.996975,-1.906196,0.006597,-0.068402
2009-09-01,-1.826586,-1.89334,-0.067674,-0.050192
2009-10-01,-1.625235,-1.796472,-0.136479,-0.062959
2009-11-01,-1.39698,-1.636524,-0.165833,-0.05954
2009-12-01,-1.107665,-1.403435,-0.277566,0.00347
2010-01-01,-0.695237,-1.02818,-0.514082,0.040188
2010-02-01,-0.237254,-0.582045,-0.524893,-0.091694
2010-03-01,0.223794,-0.128325,-0.433783,0.019667
2010-04-01,0.65284,0.257792,-0.505227,0.039979
2010-05-01,1.112198,0.699179,-0.568405,0.051636
2010-06-01,1.55918,1.234855,-0.619519,0.073875
2010-07-01,1.967772,1.846025,-0.653407,0.084653
2010-08-01,2.332943,2.434762,-0.610957,0.07212
2010-09-01,2.572697,2.813516,-0.352502,-0.004728
2010-10-01,2.587925,2.890186,0.024674,0.021422
2010-11-01,2.282382,2.675837,0.349961,0.018629
2010-12-01,1.546333,2.22242,0.80633,-0.088839
2011-01-01,0.30077,1.506425,1.37411,-0.110627
2011-02-01,-0.931473,0.783297,1.059104,0.340179
2011-03-01,-1.748876,0.32242,0.229875,0.120175
2011-04-01,-1.939022,0.275363,-0.083253,0.011196
2011-05-01,-1.946017,0.30992,-0.068341,-0.073031
2011-06-01,-1.995355,0.236304,0.124454,-0.092712
2011-07-01,-2.181709,0.017633,0.292824,-0.069676
2011-08-01,-2.454745,-0.249604,0.314577,-0.02758
2011-09-01,-2.695048,-0.427954,0.169227,0.006297
2011-10-01,-2.767012,-0.456872,-0.068214,0.013517
2011-11-01,-2.518947,-0.353856,-0.375351,0.050604
2011-12-01,-1.767648,-0.128038,-0.843134,0.132662
2012-01-01,-0.470001,0.203102,-1.274473,0.081146
2012-02-01,0.536179,0.331787,-0.48902,-0.514924
2012-03-01,0.860709,0.141596,0.546477,-0.039571
2012-04-01,0.412237,-0.337569,0.596386,0.032802
2012-05-01,-0.206604,-0.774104,0.657747,-0.091459
2012-06-01,-1.071868,-1.370878,1.115564,-0.249722
2012-07-01,-2.408643,-2.342541,1.785851,-0.291303
2012-08-01,-3.797242,-3.359753,1.545116,0.179605
2012-09-01,-4.558505,-3.836686,0.22568,0.255608
2012-10-01,-4.296452,-3.476571,-0.805156,-0.001795
2012-11-01,-3.205421,-2.772176,-1.145016,-0.096062
2012-12-01,-1.382389,-2.509558,-1.272468,-0.049398
2013-01-01,1.250272,-3.199205,-1.23761,-0.115865
2013-02-01,3.694011,-4.634329,-0.230259,-0.55675
2013-03-01,5.216393,-6.216656,0.833731,-0.144039
2013-04-01,5.528945,-7.268534,0.81567,0.020237
2013-05-01,5.63184,-7.449474,0.250025,0.135055
2013-06-01,6.192042,-6.833133,-0.639657,0.221263
2013-07-01,7.48881,-5.590537,-1.494472,0.19071
2013-08-01,8.957354,-4.283291,-1.2425,-0.305019
2013-09-01,9.789356,-3.560744,0.121033,-0.358455
2013-10-01,9.574347,-3.669601,1.11383,-0.061048
2013-11-01,8.5854,-4.01297,1.283168,0.08816
2013-12-01,7.02851,-3.749502,1.139891,0.071935
2014-01-01,4.888515,-2.569249,1.005711,0.046168
2014-02-01,2.618045,-1.087585,0.806302,0.082924
2014-03-01,0.858161,0.0342,0.456658,0.121857
2014-04-01,0.010003,0.464021,0.140287,0.071623
2014-05-01,-0.209682,0.527366,-0.01375,0.033857
2014-06-01,-0.174117,0.471468,-0.055353,0.009366
2014-07-01,-0.112174,0.403294,-0.01887,-0.011167
2014-08-01,-0.101548,0.342276,0.029927,5.17e-05
2014-09-01,-0.131515,0.295807,0.024855,0.016323
2014-10-01,-0.160853,0.279186,-0.008783,0.013554
2014-11-01,-0.161015,0.310481,-0.054416,0.022878
2014-12-01,-0.118723,0.402019,-0.127498,0.033091
2015-01-01,-0.058114,0.537579,-0.150634,0.001333
2015-02-01,-0.078317,0.599805,0.021064,-0.07398
2015-03-01,-0.174514,0.536528,0.154647,0.021455
2015-04-01,-0.281831,0.388936,0.076061,0.040544
2015-05-01,-0.302161,0.298719,-0.021711,0.024658
2015-06-01,-0.240519,0.298154,-0.100448,0.027815
2015-07-01,-0.12296,0.367539,-0.167074,0.022206
2015-08-01,0.00831,0.464849,-0.160126,-0.006324
2015-09-01,0.108172,0.544183,-0.09574,-0.002429
2015-10-01,0.152793,0.579934,-0.047229,0.008359
